random order,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Include,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Mentions power,Power analysis,Power discussion,REMARKS,276
10,33038791,Bifrontal electroconvulsive therapy changed regional homogeneity and functional connectivity of left angular gyrus in major depressive disorder,"Mo Y, Wei Q, Bai T, Zhang T, Lv H, Zhang L, Ji G, Yu F, Tian Y, Wang K.",Psychiatry Res. 2020 Dec;294:113461. doi: 10.1016/j.psychres.2020.113461. Epub 2020 Sep 20.,Mo Y,Psychiatry Res,2020,2020/10/10,,,10.1016/j.psychres.2020.113461,1,48,20,,,,0,0,,,
11,32052844,Dysbalanced Resting-State Functional Connectivity Within the Praxis Network Is Linked to Gesture Deficits in Schizophrenia,"Wüthrich F, Viher PV, Stegmayer K, Federspiel A, Bohlhalter S, Vanbellingen T, Wiest R, Walther S.",Schizophr Bull. 2020 Jul 8;46(4):905-915. doi: 10.1093/schbul/sbaa008.,Wüthrich F,Schizophr Bull,2020,2020/02/14,PMC7342100,,10.1093/schbul/sbaa008,1,46,44,,,,1,0,interpretation,seed-based,
12,32855356,Abnormal static and dynamic functional connectivity of resting-state fMRI in multiple system atrophy,"Zheng W, Ge Y, Ren S, Ran W, Zhang X, Tian W, Chen Z, Dou W, Wang Z.",Aging (Albany NY). 2020 Aug 27;12(16):16341-16356. doi: 10.18632/aging.103676. Epub 2020 Aug 27.,Zheng W,Aging (Albany NY),2020,2020/08/29,PMC7485713,,10.18632/aging.103676,1,24,20,,,,0,0,,,
13,32173408,Reduced hippocampal recruitment during response conflict resolution in mesial temporal lobe epilepsy,"Ramm M, Sundermann B, Gomes CA, Möddel G, Langenbruch L, Nagelmann N, Dehghan Nayyeri M, Young P, Pfleiderer B, Axmacher N.",Neuroimage. 2020 Jun;213:116723. doi: 10.1016/j.neuroimage.2020.116723. Epub 2020 Mar 12.,Ramm M,Neuroimage,2020,2020/03/17,,,10.1016/j.neuroimage.2020.116723,1,20,20,,,,0,0,,seed-based,
14,32170447,Laparoscopic sleeve gastrectomy improves brain connectivity in obese patients,"Hu Y, Ji G, Li G, Zhang W, Wang J, Lv G, He Y, Yuan K, von Deneen KM, Chen A, Cui G, Wang H, Manza P, Tomasi D, Volkow ND, Nie Y, Wang GJ, Zhang Y.",J Neurol. 2020 Jul;267(7):1931-1940. doi: 10.1007/s00415-020-09780-w. Epub 2020 Mar 13.,Hu Y,J Neurol,2020,2020/03/15,,,10.1007/s00415-020-09780-w,1,28,22,,,,0,0,,,
15,31150557,Intrinsic Connectivity of the Globus Pallidus: An Uncharted Marker of Functional Prognosis in People With First-Episode Schizophrenia,"Tarcijonas G, Foran W, Haas GL, Luna B, Sarpal DK.",Schizophr Bull. 2020 Jan 4;46(1):184-192. doi: 10.1093/schbul/sbz034.,Tarcijonas G,Schizophr Bull,2020,2019/06/01,PMC6942165,,10.1093/schbul/sbz034,1,43,24,,,,0,0,,seed-based,
16,31400473,Altered Spontaneous Activity and Functional Connectivity in the Posterior Pons of Patients With Migraine Without Aura,"Qin Z, He XW, Zhang J, Xu S, Li GF, Su J, Shi YH, Ban S, Hu Y, Liu YS, Zhuang MT, Zhao R, Shen XL, Li J, Liu JR, Du X.",J Pain. 2020 Mar-Apr;21(3-4):347-354. doi: 10.1016/j.jpain.2019.08.001. Epub 2019 Aug 7.,Qin Z,J Pain,2020,2019/08/11,,,10.1016/j.jpain.2019.08.001,1,32,32,,,,0,0,,seed-based,
17,32246178,Within-network brain connectivity in Crohn's disease patients with gadolinium deposition in the cerebellum,"Mallio CA, Piervincenzi C, Carducci F, Quintiliani L, Parizel PM, Pantano P, Quattrocchi CC.",Neuroradiology. 2020 Jul;62(7):833-841. doi: 10.1007/s00234-020-02415-x. Epub 2020 Apr 4.,Mallio CA,Neuroradiology,2020,2020/04/05,,,10.1007/s00234-020-02415-x,1,16,15,,,,1,0,limitation,,
18,32372901,Improved Resting-State Functional Dynamics in Post-stroke Depressive Patients After Shugan Jieyu Capsule Treatment,"Yao G, Li J, Wang J, Liu S, Li X, Cao X, Chen H, Xu Y.",Front Neurosci. 2020 Apr 16;14:297. doi: 10.3389/fnins.2020.00297. eCollection 2020.,Yao G,Front Neurosci,2020,2020/05/07,PMC7177051,,10.3389/fnins.2020.00297,1,21,15,,,,0,0,,,
19,31926905,Longitudinal changes of resting-state functional connectivity of amygdala following fear learning and extinction,"Martynova O, Tetereva A, Balaev V, Portnova G, Ushakov V, Ivanitsky A.",Int J Psychophysiol. 2020 Mar;149:15-24. doi: 10.1016/j.ijpsycho.2020.01.002. Epub 2020 Jan 9.,Martynova O,Int J Psychophysiol,2020,2020/01/14,,,10.1016/j.ijpsycho.2020.01.002,1,24,19,,,,1,1,"limitation, motivation, interpretation",,
20,32269107,"MECP2 Duplication Causes Aberrant GABA Pathways, Circuits and Behaviors in Transgenic Monkeys: Neural Mappings to Patients with Autism","Cai DC, Wang Z, Bo T, Yan S, Liu Y, Liu Z, Zeljic K, Chen X, Zhan Y, Xu X, Du Y, Wang Y, Cang J, Wang GZ, Zhang J, Sun Q, Qiu Z, Ge S, Ye Z, Wang Z.",J Neurosci. 2020 May 6;40(19):3799-3814. doi: 10.1523/JNEUROSCI.2727-19.2020. Epub 2020 Apr 8.,Cai DC,J Neurosci,2020,2020/04/10,PMC7204082,,10.1523/JNEUROSCI.2727-19.2020,0,,,,,,,,,monkey,
21,33428133,Global Functional Network Connectivity Disturbances in Parkinson's Disease with Mild Cognitive Impairment by Resting-State Functional MRI,"Shuai XX, Kong XC, Zou Y, Wang SQ, Wang YH.",Curr Med Sci. 2020 Dec;40(6):1057-1066. doi: 10.1007/s11596-020-2287-9. Epub 2021 Jan 11.,Shuai XX,Curr Med Sci,2020,2021/01/11,,,10.1007/s11596-020-2287-9,1,16,14,,,,0,0,,,
22,32657187,Motor learning in hemi-Parkinson using VR-manipulated sensory feedback,"Ossmy O, Mansano L, Frenkel-Toledo S, Kagan E, Koren S, Gilron R, Reznik D, Soroker N, Mukamel R.",Disabil Rehabil Assist Technol. 2022 Apr;17(3):349-361. doi: 10.1080/17483107.2020.1785561. Epub 2020 Jul 11.,Ossmy O,Disabil Rehabil Assist Technol,2022,2020/07/14,,,10.1080/17483107.2020.1785561,0,,,,,,,,,case-study,
23,33424749,Neural Correlates of Cognitive Dysfunctions in Cervical Spondylotic Myelopathy Patients: A Resting-State fMRI Study,"Zhao R, Su Q, Chen Z, Sun H, Liang M, Xue Y.",Front Neurol. 2020 Dec 23;11:596795. doi: 10.3389/fneur.2020.596795. eCollection 2020.,Zhao R,Front Neurol,2020,2021/01/11,PMC7785814,,10.3389/fneur.2020.596795,1,53,47,,,,0,0,,,
24,33280403,Cognitive functions relating to aberrant interactions between task-positive and task-negative networks: Resting fMRI study of patients with schizophrenia,"Yamashita M, Shimokawa T, Takahashi S, Yamada S, Terada M, Ukai S, Tanemura R.",Appl Neuropsychol Adult. 2022 Sep-Oct;29(5):1122-1130. doi: 10.1080/23279095.2020.1852565. Epub 2020 Dec 5.,Yamashita M,Appl Neuropsychol Adult,2022,2020/12/07,,,10.1080/23279095.2020.1852565,1,21,21,,,,0,0,,seed-based,
25,32578955,Differences of connectivity between ESRD patients with PD and HD,"Park BS, Seong M, Ko J, Park SH, Kim YW, Hwan Kim I, Park JH, Lee YJ, Park S, Park KM.",Brain Behav. 2020 Aug;10(8):e01708. doi: 10.1002/brb3.1708. Epub 2020 Jun 24.,Park BS,Brain Behav,2020,2020/06/25,PMC7428473,,10.1002/brb3.1708,1,40,20,20,,,0,0,,,
26,32108009,Immunological Disturbances and Neuroimaging Findings in Major Depressive Disorder (MDD) and Alcohol Use Disorder (AUD) Comorbid Patients,"Kakanakova A, Popov S, Maes M.",Curr Top Med Chem. 2020;20(9):759-769. doi: 10.2174/1568026620666200228093935.,Kakanakova A,Curr Top Med Chem,2020,2020/02/29,,,10.2174/1568026620666200228093935,0,,,,,,,,,review,
27,30877468,Postchemotherapy hippocampal functional connectivity patterns in patients with breast cancer: a longitudinal resting state functional MR imaging study,"Feng Y, Tuluhong D, Shi Z, Zheng LJ, Chen T, Lu GM, Wang S, Zhang LJ.",Brain Imaging Behav. 2020 Oct;14(5):1456-1467. doi: 10.1007/s11682-019-00067-x.,Feng Y,Brain Imaging Behav,2020,2019/03/17,,,10.1007/s11682-019-00067-x,1,29,25,,,,0,0,,seed-based,
28,31600587,Abnormal dynamic functional connectivity density in patients with generalized anxiety disorder,"Chen Y, Cui Q, Xie A, Pang Y, Sheng W, Tang Q, Li D, Huang J, He Z, Wang Y, Chen H.",J Affect Disord. 2020 Jan 15;261:49-57. doi: 10.1016/j.jad.2019.09.084. Epub 2019 Oct 1.,Chen Y,J Affect Disord,2020,2019/10/11,,,10.1016/j.jad.2019.09.084,1,81,80,,,,0,0,,,
29,32210597,Altered Brain Function in Young HIV Patients with Syphilis Infection: A Voxel-Wise Degree Centrality Analysis,"Zhang XD, Liu GX, Wang XY, Huang XJ, Li JL, Li RL, Li HJ.",Infect Drug Resist. 2020 Mar 11;13:823-833. doi: 10.2147/IDR.S234913. eCollection 2020.,Zhang XD,Infect Drug Resist,2020,2020/03/27,PMC7073437,,10.2147/IDR.S234913,1,45,44,43,,,0,0,,,
30,32107555,Resting-state fMRI detects alterations in whole brain connectivity related to tumor biology in glioma patients,"Stoecklein VM, Stoecklein S, Galiè F, Ren J, Schmutzer M, Unterrainer M, Albert NL, Kreth FW, Thon N, Liebig T, Ertl-Wagner B, Tonn JC, Liu H.",Neuro Oncol. 2020 Sep 29;22(9):1388-1398. doi: 10.1093/neuonc/noaa044.,Stoecklein VM,Neuro Oncol,2020,2020/02/29,PMC7523460,,10.1093/neuonc/noaa044,1,15,13,6,,,0,0,,,
31,32087047,Alterations and test-retest reliability of functional connectivity network measures in cerebral small vessel disease,"Gesierich B, Tuladhar AM, Ter Telgte A, Wiegertjes K, Konieczny MJ, Finsterwalder S, Hübner M, Pirpamer L, Koini M, Abdulkadir A, Franzmeier N, Norris DG, Marques JP, Zu Eulenburg P, Ewers M, Schmidt R, de Leeuw FE, Duering M.",Hum Brain Mapp. 2020 Jul;41(10):2629-2641. doi: 10.1002/hbm.24967. Epub 2020 Feb 22.,Gesierich B,Hum Brain Mapp,2020,2020/02/23,PMC7294060,,10.1002/hbm.24967,0,,,,,,,,,within-patient,
32,32473401,Tumor grade-related language and control network reorganization in patients with left cerebral glioma,"Yuan B, Zhang N, Yan J, Cheng J, Lu J, Wu J.",Cortex. 2020 Aug;129:141-157. doi: 10.1016/j.cortex.2020.04.015. Epub 2020 May 7.,Yuan B,Cortex,2020,2020/05/31,,,10.1016/j.cortex.2020.04.015,1,77,53,38,,,0,0,,seed-based,
33,32885124,Theta-burst TMS to the posterior superior temporal sulcus decreases resting-state fMRI connectivity across the face processing network,"Handwerker DA, Ianni G, Gutierrez B, Roopchansingh V, Gonzalez-Castillo J, Chen G, Bandettini PA, Ungerleider LG, Pitcher D.",Netw Neurosci. 2020 Aug 1;4(3):746-760. doi: 10.1162/netn_a_00145. eCollection 2020.,Handwerker DA,Netw Neurosci,2020,2020/09/05,PMC7462428,,10.1162/netn_a_00145,0,,,,,,,,,"seed-based, within-patient, TMS",
34,30382529,Shared and specific functional connectivity alterations in unmedicated bipolar and major depressive disorders based on the triple-network model,"Wang J, Wang Y, Wu X, Huang H, Jia Y, Zhong S, Wu X, Zhao L, He Y, Huang L, Huang R.",Brain Imaging Behav. 2020 Feb;14(1):186-199. doi: 10.1007/s11682-018-9978-x.,Wang J,Brain Imaging Behav,2020,2018/11/02,,,10.1007/s11682-018-9978-x,1,47,38,35,,,0,0,,seed-based,
35,33018274,Aberrant Functional Network Connectivity Transition Probability in Major Depressive Disorder,"Zendehrouh E, Sendi MSE, Sui J, Fu Z, Zhi D, Lv L, Ma X, Ke Q, Li X, Wang C, Abbott CC, Turner JA, Miller RL, Calhoun VD.",Annu Int Conf IEEE Eng Med Biol Soc. 2020 Jul;2020:1493-1496. doi: 10.1109/EMBC44109.2020.9175872.,Zendehrouh E,Annu Int Conf IEEE Eng Med Biol Soc,2020,2020/10/06,PMC8233065,NIHMS1711995,10.1109/EMBC44109.2020.9175872,0,,,,,,,,,method,
36,32078260,Striatal Resting-State Connectivity Abnormalities Associated With Different Clinical Stages of Major Depressive Disorder,"Wang L, Li F, Mitchell PB, Wang CY, Si TM.",J Clin Psychiatry. 2020 Feb 18;81(2):19m12790. doi: 10.4088/JCP.19m12790.,Wang L,J Clin Psychiatry,2020,2020/02/21,,,10.4088/JCP.19m12790,1,57,29,28,,,0,0,,seed-based,
37,32847951,Thalamus and focal to bilateral seizures: A multiscale cognitive imaging study,"Caciagli L, Allen LA, He X, Trimmel K, Vos SB, Centeno M, Galovic M, Sidhu MK, Thompson PJ, Bassett DS, Winston GP, Duncan JS, Koepp MJ, Sperling MR.",Neurology. 2020 Oct 27;95(17):e2427-e2441. doi: 10.1212/WNL.0000000000010645. Epub 2020 Aug 26.,Caciagli L,Neurology,2020,2020/08/28,PMC7682917,,10.1212/WNL.0000000000010645,1,80,33,,,,0,0,,seed-based,
38,32035184,Resting-state functional connectivity of the anterior cingulate cortex in young adults depressed patients with and without suicidal behavior,"Qiu H, Cao B, Cao J, Li X, Chen J, Wang W, Lv Z, Zhang S, Fang W, Ai M, Kuang L.",Behav Brain Res. 2020 Apr 20;384:112544. doi: 10.1016/j.bbr.2020.112544. Epub 2020 Feb 5.,Qiu H,Behav Brain Res,2020,2020/02/09,,,10.1016/j.bbr.2020.112544,1,41,35,,,,0,0,,seed-based,
39,31751668,Disruption of Regional Brain Activity and Functional Connectivity in Patients with Asymptomatic Vulnerable Carotid Plaque,"Huang Q, Liu Y, Liao W, Yang S, Shen L, Tang T, Feng J, Tuo J, Liu L, Tan X, He W.",Neurosci Lett. 2020 Jan 18;716:134634. doi: 10.1016/j.neulet.2019.134634. Epub 2019 Nov 18.,Huang Q,Neurosci Lett,2020,2019/11/22,,,10.1016/j.neulet.2019.134634,1,31,31,,,,0,0,,,
40,32250008,Cerebellar-cortical dysconnectivity in resting-state associated with sensorimotor tasks in schizophrenia,"Kim DJ, Moussa-Tooks AB, Bolbecker AR, Apthorp D, Newman SD, O'Donnell BF, Hetrick WP.",Hum Brain Mapp. 2020 Aug 1;41(11):3119-3132. doi: 10.1002/hbm.25002. Epub 2020 Apr 6.,Kim DJ,Hum Brain Mapp,2020,2020/04/07,PMC7336143,,10.1002/hbm.25002,1,37,30,,,,1,0,limitation,seed-based,
41,33029130,Altered Brain Activity and Functional Connectivity in Unilateral Sudden Sensorineural Hearing Loss,"Chen J, Hu B, Qin P, Gao W, Liu C, Zi D, Ding X, Yu Y, Cui G, Lu L.",Neural Plast. 2020 Sep 22;2020:9460364. doi: 10.1155/2020/9460364. eCollection 2020.,Chen J,Neural Plast,2020,2020/10/08,PMC7527900,,10.1155/2020/9460364,1,36,30,,,,0,0,,,
42,32489920,Altered intrinsic functional connectivity of the primary visual cortex in patients with retinal vein occlusion: a resting-state fMRI study,"Su T, Yuan Q, Liao XL, Shi WQ, Zhou XZ, Lin Q, Min YL, Li B, Jiang N, Shao Y.",Quant Imaging Med Surg. 2020 May;10(5):958-969. doi: 10.21037/qims.2020.03.24.,Su T,Quant Imaging Med Surg,2020,2020/06/04,PMC7242310,,10.21037/qims.2020.03.24,1,21,21,,,,0,0,,seed-based,
43,32821168,Altered Functional Connectivity Density in Young Survivors of Acute Lymphoblastic Leukemia Using Resting-State fMRI,"Chen L, Zhan Y, He F, Zhang S, Wu L, Gong H, Zhou F, Zeng X, Xu H.",Cancer Manag Res. 2020 Aug 7;12:7033-7041. doi: 10.2147/CMAR.S253202. eCollection 2020.,Chen L,Cancer Manag Res,2020,2020/08/22,PMC7425087,,10.2147/CMAR.S253202,1,20,18,,,,0,0,,,
44,32400932,Resting state functional network switching rate is differently altered in bipolar disorder and major depressive disorder,"Han S, Cui Q, Wang X, Li L, Li D, He Z, Guo X, Fan YS, Guo J, Sheng W, Lu F, Chen H.",Hum Brain Mapp. 2020 Aug 15;41(12):3295-3304. doi: 10.1002/hbm.25017. Epub 2020 May 13.,Han S,Hum Brain Mapp,2020,2020/05/14,PMC7375077,,10.1002/hbm.25017,1,61,61,40,,,1,1,motivation,,
45,33409436,Damage to the structural connectome reflected in resting-state fMRI functional connectivity,"Wodeyar A, Cassidy JM, Cramer SC, Srinivasan R.",Netw Neurosci. 2020 Dec 1;4(4):1197-1218. doi: 10.1162/netn_a_00160. eCollection 2020.,Wodeyar A,Netw Neurosci,2020,2021/01/07,PMC7781612,,10.1162/netn_a_00160,0,,,,,,,,,within-patient,
46,30887875,Two-year dynamic functional network connectivity in clinically isolated syndrome,"Rocca MA, Hidalgo de La Cruz M, Valsasina P, Mesaros S, Martinovic V, Ivanovic J, Drulovic J, Filippi M.",Mult Scler. 2020 May;26(6):645-658. doi: 10.1177/1352458519837704. Epub 2019 Mar 19.,Rocca MA,Mult Scler,2020,2019/03/20,,,10.1177/1352458519837704,1,50,13,,,,1,0,limitation,,
47,32546416,A high-resolution fMRI approach to characterize functionally distinct neural pathways within dopaminergic midbrain and nucleus accumbens during reward and salience processing,"Richter A, Reinhard F, Kraemer B, Gruber O.",Eur Neuropsychopharmacol. 2020 Jul;36:137-150. doi: 10.1016/j.euroneuro.2020.05.005. Epub 2020 Jun 13.,Richter A,Eur Neuropsychopharmacol,2020,2020/06/18,,,10.1016/j.euroneuro.2020.05.005,0,,,,,,,,,"seed-based, within-patient",
48,31447329,Toward Robust Anxiety Biomarkers: A Machine Learning Approach in a Large-Scale Sample,"Boeke EA, Holmes AJ, Phelps EA.",Biol Psychiatry Cogn Neurosci Neuroimaging. 2020 Aug;5(8):799-807. doi: 10.1016/j.bpsc.2019.05.018. Epub 2019 Jun 21.,Boeke EA,Biol Psychiatry Cogn Neurosci Neuroimaging,2020,2019/08/27,PMC6925354,NIHMS1532563,10.1016/j.bpsc.2019.05.018,0,,,,,,,,,prediction,
49,32032819,Resting state fMRI based multilayer network configuration in patients with schizophrenia,"Gifford G, Crossley N, Kempton MJ, Morgan S, Dazzan P, Young J, McGuire P.",Neuroimage Clin. 2020;25:102169. doi: 10.1016/j.nicl.2020.102169. Epub 2020 Jan 11.,Gifford G,Neuroimage Clin,2020,2020/02/08,PMC7005505,,10.1016/j.nicl.2020.102169,1,72,55,,,,0,0,,,
50,32599553,Sexual cues alter working memory performance and brain processing in men with compulsive sexual behavior,"Sinke C, Engel J, Veit M, Hartmann U, Hillemacher T, Kneer J, Kruger THC.",Neuroimage Clin. 2020;27:102308. doi: 10.1016/j.nicl.2020.102308. Epub 2020 Jun 10.,Sinke C,Neuroimage Clin,2020,2020/06/30,PMC7327301,,10.1016/j.nicl.2020.102308,1,38,31,,,,0,0,,,
51,31759811,Distinct striatum pathways connected to salience network predict symptoms improvement and resilient functioning in schizophrenia following risperidone monotherapy,"Han S, Becker B, Duan X, Cui Q, Xin F, Zong X, Hu M, Yang M, Li R, Yu Y, Liao W, Chen X, Chen H.",Schizophr Res. 2020 Jan;215:89-96. doi: 10.1016/j.schres.2019.11.017. Epub 2019 Nov 20.,Han S,Schizophr Res,2020,2019/11/25,,,10.1016/j.schres.2019.11.017,1,41,34,,,,1,0,limitation,seed-based,
52,31504959,"Effect of Risperidone Monotherapy on Dynamic Functional Connectivity of Insular Subdivisions in Treatment-Naive, First-Episode Schizophrenia","Duan X, Hu M, Huang X, Su C, Zong X, Dong X, He C, Xiao J, Li H, Tang J, Chen X, Chen H.",Schizophr Bull. 2020 Apr 10;46(3):650-660. doi: 10.1093/schbul/sbz087.,Duan X,Schizophr Bull,2020,2019/09/11,PMC7147596,,10.1093/schbul/sbz087,1,42,38,,,,0,0,,seed-based,
53,32858367,Disrupted alertness and related functional connectivity in patients with focal impaired awareness seizures in temporal lobe epilepsy,"Liu J, Zhang Z, Zhou X, Pang X, Liang X, Huang H, Yu L, Zheng J.",Epilepsy Behav. 2020 Nov;112:107369. doi: 10.1016/j.yebeh.2020.107369. Epub 2020 Aug 25.,Liu J,Epilepsy Behav,2020,2020/08/29,,,10.1016/j.yebeh.2020.107369,1,19,19,19,,,0,0,,seed-based,
54,32351412,Dissociable Effects of Theta-Burst Repeated Transcranial Magnetic Stimulation to the Inferior Frontal Gyrus on Inhibitory Control in Nicotine Addiction,"Newman-Norlund RD, Gibson M, McConnell PA, Froeliger B.",Front Psychiatry. 2020 Apr 15;11:260. doi: 10.3389/fpsyt.2020.00260. eCollection 2020.,Newman-Norlund RD,Front Psychiatry,2020,2020/05/01,PMC7174714,,10.3389/fpsyt.2020.00260,0,,,,,,,,,"seed-based, within-patient",
55,32380143,Neural activity for hip-knee control in those with anterior cruciate ligament reconstruction: A task-based functional connectivity analysis,"Criss CR, Onate JA, Grooms DR.",Neurosci Lett. 2020 Jun 21;730:134985. doi: 10.1016/j.neulet.2020.134985. Epub 2020 May 5.,Criss CR,Neurosci Lett,2020,2020/05/08,,,10.1016/j.neulet.2020.134985,1,15,15,,,,0,0,,,
56,32006947,Functional and resting-state characterizations of a periventricular heterotopic nodule associated with epileptogenic activity,"Nolan RL, Brandmeir N, Tucker ES, Magruder JL, Lee MR, Chen G, Lewis JW.",Neurosurg Focus. 2020 Feb 1;48(2):E10. doi: 10.3171/2019.11.FOCUS19765.,Nolan RL,Neurosurg Focus,2020,2020/02/02,PMC7720249,NIHMS1646669,10.3171/2019.11.FOCUS19765,0,,,,,,,,,"seed-based, single-case",
57,33061917,"Enhanced Connectivity of Thalamo-Cortical Networks in First-Episode, Treatment-Naive Somatization Disorder","Zhao J, Su Q, Liu F, Zhang Z, Yang R, Guo W, Zhao J.",Front Psychiatry. 2020 Sep 11;11:555836. doi: 10.3389/fpsyt.2020.555836. eCollection 2020.,Zhao J,Front Psychiatry,2020,2020/10/16,PMC7518236,,10.3389/fpsyt.2020.555836,1,28,25,,,,0,0,,seed-based,
58,32036276,Cerebral functional activity and connectivity changes in anti-N-methyl-D-aspartate receptor encephalitis: A resting-state fMRI study,"Cai L, Liang Y, Huang H, Zhou X, Zheng J.",Neuroimage Clin. 2020;25:102189. doi: 10.1016/j.nicl.2020.102189. Epub 2020 Jan 23.,Cai L,Neuroimage Clin,2020,2020/02/10,PMC7013171,,10.1016/j.nicl.2020.102189,1,18,17,,,,0,0,,seed-based,
59,31849148,Dynamic changes of amplitude of low-frequency fluctuations in patients with generalized anxiety disorder,"Cui Q, Sheng W, Chen Y, Pang Y, Lu F, Tang Q, Han S, Shen Q, Wang Y, Xie A, Huang J, Li D, Lei T, He Z, Chen H.",Hum Brain Mapp. 2020 Apr 15;41(6):1667-1676. doi: 10.1002/hbm.24902. Epub 2019 Dec 17.,Cui Q,Hum Brain Mapp,2020,2019/12/19,PMC7267950,,10.1002/hbm.24902,1,56,55,,,,0,0,,,
