PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Rater,Include,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Mentions power,Power analysis,Power discussion,REMARKS,250
34416758,Baseline Functional Connectivity in Resting State Networks Associated with Depression and Remission Status after 16 Weeks of Pharmacotherapy: A CAN-BIND Report,"van der Wijk G, Harris JK, Hassel S, Davis AD, Zamyadi M, Arnott SR, Milev R, Lam RW, Frey BN, Hall GB, Müller DJ, Rotzinger S, Kennedy SH, Strother SC, MacQueen GM, Protzner AB.",Cereb Cortex. 2022 Mar 4;32(6):1223-1243. doi: 10.1093/cercor/bhab286.,van der Wijk G,Cereb Cortex,2022,2021/08/20,PMC8924431,,10.1093/cercor/bhab286,K,0,,,,,,,,,not case/control,
35249129,Converging evidence of impaired brain function in systemic lupus erythematosus: changes in perfusion dynamics and intrinsic functional connectivity,"Papadaki E, Simos NJ, Kavroulakis E, Bertsias G, Antypa D, Fanouriakis A, Maris T, Sidiropoulos P, Boumpas DT.",Neuroradiology. 2022 Aug;64(8):1593-1604. doi: 10.1007/s00234-022-02924-x. Epub 2022 Mar 6.,Papadaki E,Neuroradiology,2022,2022/03/06,,,10.1007/s00234-022-02924-x,K,1,44,20,35,,,0,0,,whole-brain,
35209866,Aberrant functional connectivity in insular subregions in somatic depression: a resting-state fMRI study,"Yan R, Geng JT, Huang YH, Zou HW, Wang XM, Xia Y, Zhao S, Chen ZL, Zhou H, Chen Y, Yao ZJ, Shi JB, Lu Q.",BMC Psychiatry. 2022 Feb 24;22(1):146. doi: 10.1186/s12888-022-03795-5.,Yan R,BMC Psychiatry,2022,2022/02/25,PMC8867834,,10.1186/s12888-022-03795-5,K,1,28,30,30,,,0,0,,,
35020124,The motor inhibitory network in patients with asymmetrical Parkinson's disease: An fMRI study,"Loayza FR, Obeso I, Redondo RG, Villagra F, Luis E, Obeso JA, Jahanshahi M, Pastor MA.",Brain Imaging Behav. 2022 Jun;16(3):1349-1361. doi: 10.1007/s11682-021-00587-5. Epub 2022 Jan 12.,Loayza FR,Brain Imaging Behav,2022,2022/01/12,PMC9107438,,10.1007/s11682-021-00587-5,K,1,14,23,,,,0,0,,,
35464313,The Role of Medial Prefrontal Cortex in Acupuncture Treatment for Functional Dyspepsia,"Teng Y, Yin T, Yang Y, Sun R, Tian Z, Ma P, He Z, Qu Y, Huang L, Chen Y, Zeng F.",Front Neurosci. 2022 Apr 7;16:801899. doi: 10.3389/fnins.2022.801899. eCollection 2022.,Teng Y,Front Neurosci,2022,2022/04/25,PMC9022633,,10.3389/fnins.2022.801899,K,0,,,,,,,,,within-subject,
36211132,Effects of a new speech support application on intensive speech therapy and changes in functional brain connectivity in patients with post-stroke aphasia,"Katsuno Y, Ueki Y, Ito K, Murakami S, Aoyama K, Oishi N, Kan H, Matsukawa N, Nagao K, Tatsumi H.",Front Hum Neurosci. 2022 Sep 22;16:870733. doi: 10.3389/fnhum.2022.870733. eCollection 2022.,Katsuno Y,Front Hum Neurosci,2022,2022/10/10,PMC9535658,,10.3389/fnhum.2022.870733,K,0,,,,,,,,,not case/control,
35582784,Predictive Value of Acute Neuroplastic Response to rTMS in Treatment Outcome in Depression: A Concurrent TMS-fMRI Trial,"Ge R, Humaira A, Gregory E, Alamian G, MacMillan EL, Barlow L, Todd R, Nestor S, Frangou S, Vila-Rodriguez F.",Am J Psychiatry. 2022 Jul;179(7):500-508. doi: 10.1176/appi.ajp.21050541. Epub 2022 May 18.,Ge R,Am J Psychiatry,2022,2022/05/18,,,10.1176/appi.ajp.21050541,K,0,,,,,,,,,within-subject,
35765198,Static and dynamic topological organization of brain functional connectome in acute mild traumatic brain injury,"Li W, Ding S, Zhao G.",Acta Radiol. 2022 Jun 28:2841851221109897. doi: 10.1177/02841851221109897. Online ahead of print.,Li W,Acta Radiol,2022,2022/06/29,,,10.1177/02841851221109897,K,1,55,55,,,,,,,no access,
35462694,Dysfunction in the Interaction of Information Between and Within the Bilateral Primary Sensory Cortex,"Xing XX, Ma ZZ, Wu JJ, Ma J, Duan YJ, Hua XY, Zheng MX, Xu JG.",Front Aging Neurosci. 2022 Apr 8;14:862107. doi: 10.3389/fnagi.2022.862107. eCollection 2022.,Xing XX,Front Aging Neurosci,2022,2022/04/25,PMC9029819,,10.3389/fnagi.2022.862107,K,1,53,23,,,,0,0,,,
35311718,Effect and mechanism of mirror therapy on lower limb rehabilitation after ischemic stroke: A fMRI study,"Cui W, Huang L, Tian Y, Luo H, Chen S, Yang Y, Li Y, Fu J, Yu Q, Xu L.",NeuroRehabilitation. 2022;51(1):65-77. doi: 10.3233/NRE-210307.,Cui W,NeuroRehabilitation,2022,2022/03/21,,,10.3233/NRE-210307,K,0,,,,,,,,,intervention,
35611308,Cognitive outcome is related to functional thalamo-cortical connectivity after paediatric stroke,"Steiner L, Federspiel A, Slavova N, Wiest R, Grunt S, Steinlin M, Everts R.",Brain Commun. 2022 Apr 28;4(3):fcac110. doi: 10.1093/braincomms/fcac110. eCollection 2022.,Steiner L,Brain Commun,2022,2022/05/25,PMC9122536,,10.1093/braincomms/fcac110,K,1,20,20,,,,0,0,,seed-based,
36093705,Acupuncture Treatment Modulate Regional Homogeneity of Dorsal Lateral Prefrontal Cortex in Patients with Amnesic Mild Cognitive Impairment,"Zhang J, Hu S, Liu Y, Lyu H, Huang X, Li X, Chen J, Hu Q, Xu J, Yu H.",J Alzheimers Dis. 2022 Sep 8. doi: 10.3233/JAD-220592. Online ahead of print.,Zhang J,J Alzheimers Dis,2022,2022/09/12,,,10.3233/JAD-220592,K,0,,,,,,,,,intervention,
35488054,Association between aerobic fitness and the functional connectome in patients with schizophrenia,"Roell L, Maurus I, Keeser D, Karali T, Papazov B, Hasan A, Schmitt A, Papazova I, Lembeck M, Hirjak D, Sykorova E, Thieme CE, Muenz S, Seitz V, Greska D, Campana M, Wagner E, Loehrs L, Stoecklein S, Ertl-Wagner B, Poemsl J, Roeh A, Malchow B, Keller-Varady K, Meyer-Lindenberg A, Falkai P.",Eur Arch Psychiatry Clin Neurosci. 2022 Oct;272(7):1253-1272. doi: 10.1007/s00406-022-01411-x. Epub 2022 Apr 30.,Roell L,Eur Arch Psychiatry Clin Neurosci,2022,2022/04/29,PMC9508005,,10.1007/s00406-022-01411-x,K,0,,,,,,,,,association,
36209795,"Unraveling the functional attributes of the language connectome: crucial subnetworks, flexibility and variability","Roger E, Rodrigues De Almeida L, Loevenbruck H, Perrone-Bertolotti M, Cousin E, Schwartz JL, Perrier P, Dohen M, Vilain A, Baraduc P, Achard S, Baciu M.",Neuroimage. 2022 Oct 6:119672. doi: 10.1016/j.neuroimage.2022.119672. Online ahead of print.,Roger E,Neuroimage,2022,2022/10/09,,,10.1016/j.neuroimage.2022.119672,K,0,,,,,,,,,method,
35840872,Alterations in functional connectivity and interactions in resting-state networks in female patients with functional constipation,"Zhang L, Li G, Hu Y, Zhang W, Wang J, Ji W, Jiang F, Zhang Y, Wu F, von Deneen KM, Duan S, Cui G, Zhang Y, Nie Y.",Neurol Sci. 2022 Jul 15. doi: 10.1007/s10072-022-06275-6. Online ahead of print.,Zhang L,Neurol Sci,2022,2022/07/15,,,10.1007/s10072-022-06275-6,K,1,39,36,,,,0,0,,whole-brain,
36009805,Functional Connectivity Alterations Based on Hypometabolic Region May Predict Clinical Prognosis of Temporal Lobe Epilepsy: A Simultaneous (18)F-FDG PET/fMRI Study,"Shan Y, Zhou HC, Shang K, Cui BX, Fan XT, Zhang Q, Shan YZ, Jiang JH, Zhao GG, Lu J.",Biology (Basel). 2022 Aug 5;11(8):1178. doi: 10.3390/biology11081178.,Shan Y,Biology (Basel),2022,2022/08/26,PMC9404714,,10.3390/biology11081178,K,0,,,,,,,,,intervention,
35625731,Repetitive Transcranial Magnetic Stimulation (rTMS) of Dorsolateral Prefrontal Cortex May Influence Semantic Fluency and Functional Connectivity in Fronto-Parietal Network in Mild Cognitive Impairment (MCI),"Esposito S, Trojsi F, Cirillo G, de Stefano M, Di Nardo F, Siciliano M, Caiazzo G, Ippolito D, Ricciardi D, Buonanno D, Atripaldi D, Pepe R, D'Alvano G, Mangione A, Bonavita S, Santangelo G, Iavarone A, Cirillo M, Esposito F, Sorbi S, Tedeschi G.",Biomedicines. 2022 Apr 25;10(5):994. doi: 10.3390/biomedicines10050994.,Esposito S,Biomedicines,2022,2022/05/28,PMC9138229,,10.3390/biomedicines10050994,K,0,,,,,,,,,intervention,
36092050,The altered functional connectivity density related to cognitive impairment in alcoholics,"Duan R, Li Y, Jing L, Zhang T, Yao Y, Gong Z, Shao Y, Song Y, Wang W, Zhang Y, Cheng J, Zhu X, Peng Y, Jia Y.",Front Psychol. 2022 Aug 25;13:973654. doi: 10.3389/fpsyg.2022.973654. eCollection 2022.,Duan R,Front Psychol,2022,2022/09/12,PMC9453650,,10.3389/fpsyg.2022.973654,K,1,29,11,50,,,0,0,,,
35360259,Regional Alteration within the Cerebellum and the Reorganization of the Cerebrocerebellar System following Poststroke Aphasia,"Zhang X, Chen Z, Li N, Liang J, Zou Y, Wu H, Kang Z, Dou Z, Qiu W.",Neural Plast. 2022 Mar 22;2022:3481423. doi: 10.1155/2022/3481423. eCollection 2022.,Zhang X,Neural Plast,2022,2022/04/01,PMC8964230,,10.1155/2022/3481423,K,1,20,20,,,,0,0,,"fc, effective fc",
35172200,Resolution of diaschisis contributes to early recovery from post-stroke aphasia,"Wawrzyniak M, Schneider HR, Klingbeil J, Stockert A, Hartwigsen G, Weiller C, Saur D.",Neuroimage. 2022 May 1;251:119001. doi: 10.1016/j.neuroimage.2022.119001. Epub 2022 Feb 13.,Wawrzyniak M,Neuroimage,2022,2022/02/16,,,10.1016/j.neuroimage.2022.119001,K,0,,,,,,,,,not case/control,
35189456,Intrusive experiences in posttraumatic stress disorder: Treatment response induces changes in the directed functional connectivity of the anterior insula,"Leroy A, Very E, Birmes P, Yger P, Szaffarczyk S, Lopes R, Outteryck O, Faure C, Duhem S, Grandgenèvre P, Warembourg F, Vaiva G, Jardri R.",Neuroimage Clin. 2022;34:102964. doi: 10.1016/j.nicl.2022.102964. Epub 2022 Feb 10.,Leroy A,Neuroimage Clin,2022,2022/02/21,PMC8861823,,10.1016/j.nicl.2022.102964,K,0,,,,,,,,,intervention,
36051643,Acupuncture modulates the frequency-specific functional connectivity density in primary dysmenorrhea,"Liu LY, Li X, Tian ZL, Zhang Q, Shen ZF, Wei W, Guo XL, Chen L, Su MH, Yang L, Yu SY, Yang J.",Front Neurosci. 2022 Aug 16;16:917721. doi: 10.3389/fnins.2022.917721. eCollection 2022.,Liu LY,Front Neurosci,2022,2022/09/02,PMC9426343,,10.3389/fnins.2022.917721,K,0,,,,,,,,,intervention,
35360175,Increased Excursions to Functional Networks in Schizophrenia in the Absence of Task,"Farinha M, Amado C, Morgado P, Cabral J.",Front Neurosci. 2022 Mar 11;16:821179. doi: 10.3389/fnins.2022.821179. eCollection 2022.,Farinha M,Front Neurosci,2022,2022/04/01,PMC8963765,,10.3389/fnins.2022.821179,K,1,74,71,,,,0,0,,dfc,
35735004,Altered functional brain states predict cognitive decline 5 years after a clinically isolated syndrome,"Koubiyr I, Broeders TA, Deloire M, Brochet B, Tourdias T, Geurts JJ, Schoonheim MM, Ruet A.",Mult Scler. 2022 Oct;28(12):1973-1982. doi: 10.1177/13524585221101470. Epub 2022 Jun 23.,Koubiyr I,Mult Scler,2022,2022/06/23,,,10.1177/13524585221101470,K,0,,,,,,,,,longitudinal,
35879602,Altered resting-state functional connectivity within corticostriatal and subcortical-striatal circuits in chronic pain,"Park SH, Baker AK, Krishna V, Mackey SC, Martucci KT.",Sci Rep. 2022 Jul 25;12(1):12683. doi: 10.1038/s41598-022-16835-7.,Park SH,Sci Rep,2022,2022/07/25,PMC9314446,,10.1038/s41598-022-16835-7,K,1,32,37,,,,1,1,motivation,seed-based,
35699600,The brain network underlying attentional blink predicts symptoms of attention deficit hyperactivity disorder in children,"Zhang D, Zhang R, Zhou L, Zhou K, Chang C.",Cereb Cortex. 2022 Jun 14:bhac240. doi: 10.1093/cercor/bhac240. Online ahead of print.,Zhang D,Cereb Cortex,2022,2022/06/14,,,10.1093/cercor/bhac240,K,0,,,,,,,,,prediction,
35999489,Neuroanatomy and Functional Connectivity in Patients with Parkinson's Disease with or without Restless Legs Syndrome,"Zang QL, Zheng JH, Ma JJ, Zhang Q, Huang PP, Shen NN, Miao W.",Neurol Ther. 2022 Aug 23. doi: 10.1007/s40120-022-00397-x. Online ahead of print.,Zang QL,Neurol Ther,2022,2022/08/23,,,10.1007/s40120-022-00397-x,K,1,42,124,,,,0,0,,,
34991756,Effects of polygenic risk of schizophrenia on interhemispheric callosal white matter integrity and frontotemporal functional connectivity in first-episode schizophrenia,"Su W, Yuan A, Tang Y, Xu L, Wei Y, Wang Y, Li Z, Cui H, Qian Z, Tang X, Hu Y, Zhang T, Feng J, Li Z, Zhang J, Wang J.",Psychol Med. 2022 Jan 7:1-10. doi: 10.1017/S0033291721004840. Online ahead of print.,Su W,Psychol Med,2022,2022/01/07,,,10.1017/S0033291721004840,K,1,84,93,,,,0,0,,,
