PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Rater,Include,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Mentions power,Power analysis,Power discussion,REMARKS,78
32568370,The structural connectivity of subthalamic deep brain stimulation correlates with impulsivity in Parkinson's disease,"Mosley PE, Paliwal S, Robinson K, Coyne T, Silburn P, Tittgemeyer M, Stephan KE, Perry A, Breakspear M.",Brain. 2020 Jul 1;143(7):2235-2254. doi: 10.1093/brain/awaa148.,Mosley PE,Brain,2020,2020/06/23,,,10.1093/brain/awaa148,B,0,,,,,,,,,not case-control,
32677282,Aberrant frontostriatal connectivity in Alzheimer's disease with positive palmomental reflex,"Gramespacher H, Richter N, Edwin Thanarajah S, Jacobs HIL, Dillen KNH, Nellessen N, von Reutern B, Dronse J, Kukolja J, Fink GR, Onur OA.",Eur J Neurol. 2020 Dec;27(12):2405-2414. doi: 10.1111/ene.14443. Epub 2020 Aug 20.,Gramespacher H,Eur J Neurol,2020,2020/07/18,,,10.1111/ene.14443,B,0,,,,,,,,,not case-control,
32581989,Investigating Brain Network Changes and Their Association With Cognitive Recovery After Traumatic Brain Injury: A Longitudinal Analysis,"Moreira da Silva N, Cowie CJA, Blamire AM, Forsyth R, Taylor PN.",Front Neurol. 2020 Jun 9;11:369. doi: 10.3389/fneur.2020.00369. eCollection 2020.,Moreira da Silva N,Front Neurol,2020,2020/06/26,PMC7296134,,10.3389/fneur.2020.00369,B,1,23,28,,,,0,,,,
32653920,Structural connectivity predicts clinical outcomes of deep brain stimulation for Tourette syndrome,"Johnson KA, Duffley G, Anderson DN, Ostrem JL, Welter ML, Baldermann JC, Kuhn J, Huys D, Visser-Vandewalle V, Foltynie T, Zrinzo L, Hariz M, Leentjens AFG, Mogilner AY, Pourfar MH, Almeida L, Gunduz A, Foote KD, Okun MS, Butson CR.",Brain. 2020 Aug 1;143(8):2607-2623. doi: 10.1093/brain/awaa188.,Johnson KA,Brain,2020,2020/07/13,PMC7447520,,10.1093/brain/awaa188,B,0,,,,,,,,,not case-control,
32913015,Structural and functional brain connectome in motor neuron diseases: A multicenter MRI study,"Basaia S, Agosta F, Cividini C, Trojsi F, Riva N, Spinelli EG, Moglia C, Femiano C, Castelnovo V, Canu E, Falzone Y, Monsurrò MR, Falini A, Chiò A, Tedeschi G, Filippi M.",Neurology. 2020 Nov 3;95(18):e2552-e2564. doi: 10.1212/WNL.0000000000010731. Epub 2020 Sep 10.,Basaia S,Neurology,2020,2020/09/11,PMC7682834,,10.1212/WNL.0000000000010731,B,1,173,38,28,79,,1,0,"interpretation, limitation",,
32153374,Altered Rich-Club Organization and Regional Topology Are Associated With Cognitive Decline in Patients With Frontal and Temporal Gliomas,"Liu Y, Yang K, Hu X, Xiao C, Rao J, Li Z, Liu D, Zou Y, Chen J, Liu H.",Front Hum Neurosci. 2020 Feb 21;14:23. doi: 10.3389/fnhum.2020.00023. eCollection 2020.,Liu Y,Front Hum Neurosci,2020,2020/03/11,PMC7047345,,10.3389/fnhum.2020.00023,B,1,14,13,18,,,1,0,interpretation,,
32100521,Deficits of entropy modulation of the EEG: A biomarker for altered function in schizophrenia and bipolar disorder?,"Molina V, Lubeiro A, de Luis Garcia R, Gomez-Pilar J, Martín-Santiago O, Iglesias-Tejedor M, Holgado-Madera P, Segarra-Echeverría R, Recio-Barbero M, Núñez P, Haidar MK, Fernández-Sevillano J, Sanz-Fuentenebro J.",J Psychiatry Neurosci. 2020 Sep 1;45(5):322-333. doi: 10.1503/jpn.190032.,Molina V,J Psychiatry Neurosci,2020,2020/02/27,PMC7850148,,10.1503/jpn.190032,B,0,,,,,,,,,EEG,
32499553,Traumatic Brain Injury Severity in a Network Perspective: A Diffusion MRI Based Connectome Study,"Raizman R, Tavor I, Biegon A, Harnof S, Hoffmann C, Tsarfaty G, Fruchter E, Tatsa-Laur L, Weiser M, Livny A.",Sci Rep. 2020 Jun 4;10(1):9121. doi: 10.1038/s41598-020-65948-4.,Raizman R,Sci Rep,2020,2020/06/06,PMC7272462,,10.1038/s41598-020-65948-4,B,1,12,10,22,,,0,,,,
32007498,Damage to the shortest structural paths between brain regions is associated with disruptions of resting-state functional connectivity after stroke,"Griffis JC, Metcalf NV, Corbetta M, Shulman GL.",Neuroimage. 2020 Apr 15;210:116589. doi: 10.1016/j.neuroimage.2020.116589. Epub 2020 Jan 30.,Griffis JC,Neuroimage,2020,2020/02/03,PMC7061444,NIHMS1556900,10.1016/j.neuroimage.2020.116589,B,0,,,,,,,,,not case-control,
33281588,Assessing Fine-Granularity Structural and Functional Connectivity in Children With Attention Deficit Hyperactivity Disorder,"Wang P, Jiang X, Chen H, Zhang S, Li X, Cao Q, Sun L, Liu L, Yang B, Wang Y.",Front Hum Neurosci. 2020 Nov 13;14:594830. doi: 10.3389/fnhum.2020.594830. eCollection 2020.,Wang P,Front Hum Neurosci,2020,2020/12/07,PMC7691597,,10.3389/fnhum.2020.594830,B,1,25,45,,,,0,,,tract-based,
32442815,New insights into the neural foundations mediating movement/language interactions gained from intrasurgical direct electrostimulations,"Rech F, Wassermann D, Duffau H.",Brain Cogn. 2020 Jul;142:105583. doi: 10.1016/j.bandc.2020.105583. Epub 2020 May 19.,Rech F,Brain Cogn,2020,2020/05/23,,,10.1016/j.bandc.2020.105583,B,0,,,,,,,,,not case-control,
31730165,Long-range connections are more severely damaged and relevant for cognition in multiple sclerosis,"Meijer KA, Steenwijk MD, Douw L, Schoonheim MM, Geurts JJG.",Brain. 2020 Jan 1;143(1):150-160. doi: 10.1093/brain/awz355.,Meijer KA,Brain,2020,2019/11/16,PMC6938033,,10.1093/brain/awz355,MP,1,133,48,,,,0,,,,
31937623,Early deviation from normal structural connectivity: A novel intrinsic severity score for mild TBI,"Taylor PN, Moreira da Silva N, Blamire A, Wang Y, Forsyth R.",Neurology. 2020 Mar 10;94(10):e1021-e1026. doi: 10.1212/WNL.0000000000008902. Epub 2020 Jan 14.,Taylor PN,Neurology,2020,2020/01/16,PMC7238920,,10.1212/WNL.0000000000008902,MP,1,34,31,,,,0,,,,
31306535,Structural and functional brain connectomes in patients with systemic lupus erythematosus,"Preziosa P, Rocca MA, Ramirez GA, Bozzolo EP, Canti V, Pagani E, Valsasina P, Moiola L, Rovere-Querini P, Manfredi AA, Filippi M.",Eur J Neurol. 2020 Jan;27(1):113-e2. doi: 10.1111/ene.14041. Epub 2019 Aug 8.,Preziosa P,Eur J Neurol,2020,2019/07/16,,,10.1111/ene.14041,MP,1,32,32,,,,0,,,,
32428227,The role of the inferior parietal lobule in writer's cramp,"Merchant SHI, Frangos E, Parker J, Bradson M, Wu T, Vial-Undurraga F, Leodori G, Bushnell MC, Horovitz SG, Hallett M, Popa T.",Brain. 2020 Jun 1;143(6):1766-1779. doi: 10.1093/brain/awaa138.,Merchant SHI,Brain,2020,2020/05/20,PMC7296854,,10.1093/brain/awaa138,MP,1,9,15,,,,0,,,,
32663936,The concurrent disturbance of dynamic functional and structural brain connectome in major depressive disorder: the prefronto-insular pathway,"Zhang H, Palaniyappan L, Wu Y, Cong E, Wu C, Ding L, Jin F, Qiu M, Huang Y, Wu Y, Wang J, Ying S, Peng D.",J Affect Disord. 2020 Sep 1;274:1084-1090. doi: 10.1016/j.jad.2020.05.148. Epub 2020 Jun 1.,Zhang H,J Affect Disord,2020,2020/07/16,,,10.1016/j.jad.2020.05.148,MP,1,28,21,27,,,0,0,,"""There were no significant group differences among MDD, BD and healthy controls on framewise displacement (FD) power values (0.16 ± 0.9 vs. 0.18 ± 0.10 vs. 0.16 ± 0.08, p > 0.05).""",
33132997,Neural Connectivity Changes Facilitated by Familiar Auditory Sensory Training in Disordered Consciousness: A TBI Pilot Study,"Bender Pape TL, Livengood SL, Kletzel SL, Blabas B, Guernon A, Bhaumik DK, Bhaumik R, Mallinson T, Weaver JA, Higgins JP, Wang X, Herrold AA, Rosenow JM, Parrish T.",Front Neurol. 2020 Oct 8;11:1027. doi: 10.3389/fneur.2020.01027. eCollection 2020.,Bender Pape TL,Front Neurol,2020,2020/11/02,PMC7578344,,10.3389/fneur.2020.01027,MP,0,4,4,,,,?,,motivation,""" This approach is also powerful for small samples in which verification of the distribution of the test statistic is unreliable """,
32981350,Association Between Magnetic Resonance Imaging-Based Spinal Morphometry and Sensorimotor Behavior in a Hemicontusion Model of Incomplete Cervical Spinal Cord Injury in Rats,"Chitturi J, Sanganahalli BG, Herman P, Hyder F, Ni L, Elkabes S, Heary R, Kannurpatti SS.",Brain Connect. 2020 Nov;10(9):479-489. doi: 10.1089/brain.2020.0812. Epub 2020 Oct 29.,Chitturi J,Brain Connect,2020,2020/09/28,PMC7698856,,10.1089/brain.2020.0812,MP,0,,,,,,,,,rat study,
30617781,Structural connectivity in adolescent synthetic cannabinoid users with and without ADHD,"Çelik ZÇ, Çolak Ç, Di Biase MA, Zalesky A, Zorlu N, Bora E, Kitiş Ö, Yüncü Z.",Brain Imaging Behav. 2020 Apr;14(2):505-514. doi: 10.1007/s11682-018-0023-x.,Çelik ZÇ,Brain Imaging Behav,2020,2019/01/09,,,10.1007/s11682-018-0023-x,MP,1,14,13,,,,1,0,limitation,,
31967334,Altered Hypothalamic Region Covariance in Migraine and Cluster Headache: A Structural MRI Study,"Chong CD, Aguilar M, Schwedt TJ.",Headache. 2020 Mar;60(3):553-563. doi: 10.1111/head.13742. Epub 2020 Jan 22.,Chong CD,Headache,2020,2020/01/23,,,10.1111/head.13742,MP,0,,,,,,,,,T1 covariacne study,
32986216,Multimodal MRI of Conduction Tracts and Anatomy of the Cerebral Gray Matter in Familial Risk of Affective Disorders and Schizophrenia,"Tomyshev AS, Lebedeva IS, Kananovich PS, Pomytkin AN, Bazhenova DA, Kaleda VG.",Bull Exp Biol Med. 2020 Sep;169(5):614-618. doi: 10.1007/s10517-020-04939-x. Epub 2020 Sep 28.,Tomyshev AS,Bull Exp Biol Med,2020,2020/09/28,,,10.1007/s10517-020-04939-x,MP,1,16,13,13,,,0,,,,
33329107,State-Independent and -Dependent Structural Connectivity Alterations in Depression,"Fan Y, Liu J, Zeng LL, Dong Q, Su J, Peng L, Shen H, Lu X, Sun J, Zhang L, Wang M, Raj J, Liu B, Hu D, Li L.",Front Psychiatry. 2020 Nov 30;11:568717. doi: 10.3389/fpsyt.2020.568717. eCollection 2020.,Fan Y,Front Psychiatry,2020,2020/12/17,PMC7733996,,10.3389/fpsyt.2020.568717,MP,1,99,118,,,,1,0,motivation,Both structural and functional abnormalities in the temporal lobe show high discriminative power in distinguishing MDD patients from HCs,
32578955,Differences of connectivity between ESRD patients with PD and HD,"Park BS, Seong M, Ko J, Park SH, Kim YW, Hwan Kim I, Park JH, Lee YJ, Park S, Park KM.",Brain Behav. 2020 Aug;10(8):e01708. doi: 10.1002/brb3.1708. Epub 2020 Jun 24.,Park BS,Brain Behav,2020,2020/06/25,PMC7428473,,10.1002/brb3.1708,MP,1,20,20,,,,0,,,,
31631743,Widespread White Matter Aberrations Are Associated with Phonemic Verbal Fluency Impairment in Chronic Traumatic Brain Injury,"Yamagata B, Ueda R, Tasato K, Aoki Y, Hotta S, Hirano J, Takamiya A, Nakaaki S, Tabuchi H, Mimura M.",J Neurotrauma. 2020 Apr 1;37(7):975-981. doi: 10.1089/neu.2019.6751. Epub 2019 Dec 5.,Yamagata B,J Neurotrauma,2020,2019/10/22,,,10.1089/neu.2019.6751,MP,1,18,17,,,,1,0,interpretation,,
32310840,The Role of Hippocampal Functional Connectivity on Multisystem Subclinical Abnormalities in Schizophrenia,"Hare SM, Chiappelli J, Savransky A, Adhikari BM, Wisner K, Kvarta M, Goldwaser E, Du X, Chen S, Rowland LM, Kochunov P, Hong LE.",Psychosom Med. 2020 Jul/Aug;82(6):623-630. doi: 10.1097/PSY.0000000000000813.,Hare SM,Psychosom Med,2020,2020/04/21,PMC7335333,NIHMS1583974,10.1097/PSY.0000000000000813,MP,1,31,46,,,,0,0,,,
32079601,Reduced Global Efficiency and Random Network Features in Patients with Relapsing-Remitting Multiple Sclerosis with Cognitive Impairment,"Hawkins R, Shatil AS, Lee L, Sengupta A, Zhang L, Morrow S, Aviv RI.",AJNR Am J Neuroradiol. 2020 Mar;41(3):449-455. doi: 10.3174/ajnr.A6435. Epub 2020 Feb 20.,Hawkins R,AJNR Am J Neuroradiol,2020,2020/02/22,PMC7077890,,10.3174/ajnr.A6435,MP,0,18,25,55,,,0,,,Structural Covariance study,
32169560,"The role of altered brain structural connectivity in resilience, vulnerability, and disease expression to schizophrenia","Wei Q, Zhao L, Zou Y, Wang J, Qiu Y, Niu M, Kang Z, Liu X, Tang Y, Li C, Zhang J, Fan X, Huang R, Han Z.",Prog Neuropsychopharmacol Biol Psychiatry. 2020 Jul 13;101:109917. doi: 10.1016/j.pnpbp.2020.109917. Epub 2020 Mar 10.,Wei Q,Prog Neuropsychopharmacol Biol Psychiatry,2020,2020/03/15,,,10.1016/j.pnpbp.2020.109917,MP,1,90,49,56,,,0,0,,,
31990490,Indirect frontocingulate structural connectivity predicts clinical response to accelerated rTMS in major depressive disorder,"Klooster DC, Vos IN, Caeyenberghs K, Leemans A, David S, Besseling RM, Aldenkamp AP, Baeken C.",J Psychiatry Neurosci. 2020 Jul 1;45(4):243-252. doi: 10.1503/jpn.190088.,Klooster DC,J Psychiatry Neurosci,2020,2020/01/29,PMC7828925,,10.1503/jpn.190088,MP,0,,,,,,,,,WITHIN GROUP MDD DESIGN,
32239535,Left Prefrontal Connectivity Links Subthalamic Stimulation with Depressive Symptoms,"Irmen F, Horn A, Mosley P, Perry A, Petry-Schmelzer JN, Dafsari HS, Barbe M, Visser-Vandewalle V, Schneider GH, Li N, Kübler D, Wenzel G, Kühn AA.",Ann Neurol. 2020 Jun;87(6):962-975. doi: 10.1002/ana.25734. Epub 2020 Apr 30.,Irmen F,Ann Neurol,2020,2020/04/03,,,10.1002/ana.25734,MP,0,,,,,,,,,WITHIN GORUP DESIGN,
32848591,Type 2 Diabetes Mellitus May Exacerbate Gray Matter Atrophy in Patients With Early-Onset Mild Cognitive Impairment,"Li C, Zuo Z, Liu D, Jiang R, Li Y, Li H, Yin X, Lai Y, Wang J, Xiong K.",Front Neurosci. 2020 Aug 11;14:856. doi: 10.3389/fnins.2020.00856. eCollection 2020.,Li C,Front Neurosci,2020,2020/08/28,PMC7432296,,10.3389/fnins.2020.00856,MP,0,28,28,28,28,,,,,COVARIANCE STUDY,
31647536,The Influence of Cortico-Cerebellar Structural Connectivity on Cortical Excitability in Chronic Stroke,"Guder S, Frey BM, Backhaus W, Braass H, Timmermann JE, Gerloff C, Schulz R.",Cereb Cortex. 2020 Mar 14;30(3):1330-1344. doi: 10.1093/cercor/bhz169.,Guder S,Cereb Cortex,2020,2019/10/25,,,10.1093/cercor/bhz169,EP,1,18,17,,,,0,,,,
32061945,Understanding the neural basis of episodic amnesia in logopenic progressive aphasia: A multimodal neuroimaging study,"Ramanan S, Marstaller L, Hodges JR, Piguet O, Irish M.",Cortex. 2020 Apr;125:272-287. doi: 10.1016/j.cortex.2019.12.026. Epub 2020 Jan 22.,Ramanan S,Cortex,2020,2020/02/17,,,10.1016/j.cortex.2019.12.026,EP,1,15,31,19,,,1,0,motivation,,
32848638,Accounting for Changing Structure in Functional Network Analysis of TBI Patients,"Dell'Italia J, Johnson MA, Vespa PM, Monti MM.",Front Syst Neurosci. 2020 Aug 7;14:42. doi: 10.3389/fnsys.2020.00042. eCollection 2020.,Dell'Italia J,Front Syst Neurosci,2020,2020/08/28,PMC7427444,,10.3389/fnsys.2020.00042,EP,0,,,,,,,,,power/methods paper?,
32026459,Bayesian modeling of multiple structural connectivity networks during the progression of Alzheimer's disease,"Peterson CB, Osborne N, Stingo FC, Bourgeat P, Doecke JD, Vannucci M.",Biometrics. 2020 Dec;76(4):1120-1132. doi: 10.1111/biom.13235. Epub 2020 Feb 19.,Peterson CB,Biometrics,2020,2020/02/07,PMC8906798,NIHMS1781994,10.1111/biom.13235,EP,1,143,145,148,148,,1,0,interpretation,,
31706787,Topographic diversity of structural connectivity in schizophrenia,"Ruan H, Luo Q, Palaniyappan L, Lu W, Huang CC, Zac Lo CY, Yang AC, Liu ME, Tsai SJ, Lin CP, Feng J.",Schizophr Res. 2020 Jan;215:181-189. doi: 10.1016/j.schres.2019.10.034. Epub 2019 Nov 6.,Ruan H,Schizophr Res,2020,2019/11/11,,,10.1016/j.schres.2019.10.034,EP,1,77,70,,,,0,,,,
32757349,Spatially coherent and topographically organized pathways of the human globus pallidus,"Bertino S, Basile GA, Bramanti A, Anastasi GP, Quartarone A, Milardi D, Cacciola A.",Hum Brain Mapp. 2020 Nov;41(16):4641-4661. doi: 10.1002/hbm.25147. Epub 2020 Aug 5.,Bertino S,Hum Brain Mapp,2020,2020/08/07,PMC7555102,,10.1002/hbm.25147,EP,0,,,,,,,,,not case/control,
32026599,Gray matter integrity predicts white matter network reorganization in multiple sclerosis,"Radetz A, Koirala N, Krämer J, Johnen A, Fleischer V, Gonzalez-Escamilla G, Cerina M, Muthuraman M, Meuth SG, Groppa S.",Hum Brain Mapp. 2020 Mar;41(4):917-927. doi: 10.1002/hbm.24849. Epub 2019 Nov 5.,Radetz A,Hum Brain Mapp,2020,2020/02/07,PMC7268008,,10.1002/hbm.24849,EP,0,,,,,,,,,only cases (two timepoints),
32940355,"Structural network topology in limbic encephalitis is associated with amygdala enlargement, memory performance and serostatus","Bauer T, David B, Ernst L, Becker AJ, Witt JA, Helmstaedter C, Wagner J, Weber B, Elger CE, Surges R, Rüber T.",Epilepsia. 2020 Oct;61(10):e140-e145. doi: 10.1111/epi.16691. Epub 2020 Sep 17.,Bauer T,Epilepsia,2020,2020/09/17,,,10.1111/epi.16691,EP,1,17,4,5,26,20,1,0,"interpretation, limitation",,
32381544,Disrupted Functional and Structural Connectivity in Angelman Syndrome,"Yoon HM, Jo Y, Shim WH, Lee JS, Ko TS, Koo JH, Yum MS.",AJNR Am J Neuroradiol. 2020 May;41(5):889-897. doi: 10.3174/ajnr.A6531. Epub 2020 May 7.,Yoon HM,AJNR Am J Neuroradiol,2020,2020/05/09,PMC7228188,,10.3174/ajnr.A6531,EP,1,14,28,,,,0,,,,
33163073,Altered Brain Structural Networks in Patients with Brain Arteriovenous Malformations Located in Broca's Area,"Li M, Jiang P, Wu J, Guo R, Deng X, Cao Y, Wang S.",Neural Plast. 2020 Oct 24;2020:8886803. doi: 10.1155/2020/8886803. eCollection 2020.,Li M,Neural Plast,2020,2020/11/09,PMC7604605,,10.1155/2020/8886803,EP,1,14,27,,,,1,0,"motivation, limitation",,
30625050,Structural connectivity in multiple sclerosis and modeling of disconnection,"Pagani E, Rocca MA, De Meo E, Horsfield MA, Colombo B, Rodegher M, Comi G, Filippi M.",Mult Scler. 2020 Feb;26(2):220-232. doi: 10.1177/1352458518820759. Epub 2019 Jan 9.,Pagani E,Mult Scler,2020,2019/01/10,,,10.1177/1352458518820759,EP,1,227,50,,,,0,,,,
33409436,Damage to the structural connectome reflected in resting-state fMRI functional connectivity,"Wodeyar A, Cassidy JM, Cramer SC, Srinivasan R.",Netw Neurosci. 2020 Dec 1;4(4):1197-1218. doi: 10.1162/netn_a_00160. eCollection 2020.,Wodeyar A,Netw Neurosci,2020,2021/01/07,PMC7781612,,10.1162/netn_a_00160,EP,0,,,,,,,,,not case/control,
32056758,Microstructural white matter alterations in borderline personality disorder: A minireview,"Grottaroli M, Delvecchio G, Bressi C, Moltrasio C, Soares JC, Brambilla P.",J Affect Disord. 2020 Mar 1;264:249-255. doi: 10.1016/j.jad.2019.12.033. Epub 2019 Dec 31.,Grottaroli M,J Affect Disord,2020,2020/02/15,,,10.1016/j.jad.2019.12.033,EP,0,,,,,,,,,review,
31832813,Influence of Motor Deficiency and Spatial Neglect on the Contralesional Posterior Parietal Cortex Functional and Structural Connectivity in Stroke Patients,"Allart E, Viard R, Lopes R, Devanne H, Delval A.",Brain Topogr. 2020 Mar;33(2):176-190. doi: 10.1007/s10548-019-00749-1. Epub 2019 Dec 12.,Allart E,Brain Topogr,2020,2019/12/14,,,10.1007/s10548-019-00749-1,EP,1,11,13,,,,1,0,"interpretation, limitation, motivation",,
33118028,Differences in network controllability and regional gene expression underlie hallucinations in Parkinson's disease,"Zarkali A, McColgan P, Ryten M, Reynolds R, Leyland LA, Lees AJ, Rees G, Weil RS.",Brain. 2020 Dec 5;143(11):3435-3448. doi: 10.1093/brain/awaa270.,Zarkali A,Brain,2020,2020/10/29,PMC7719028,,10.1093/brain/awaa270,EP,1,81,34,19,,,0,,,,
31802435,Brain-Machine Interface Induced Morpho-Functional Remodeling of the Neural Motor System in Severe Chronic Stroke,"Caria A, da Rocha JLD, Gallitto G, Birbaumer N, Sitaram R, Murguialday AR.",Neurotherapeutics. 2020 Apr;17(2):635-650. doi: 10.1007/s13311-019-00816-2.,Caria A,Neurotherapeutics,2020,2019/12/06,PMC7283440,,10.1007/s13311-019-00816-2,EP,0,,,,,,,,,not case/control,
33011518,Structural organization of the praxis network predicts gesture production: Evidence from healthy subjects and patients with schizophrenia,"Viher PV, Abdulkadir A, Savadijev P, Stegmayer K, Kubicki M, Makris N, Karmacharya S, Federspiel A, Bohlhalter S, Vanbellingen T, Müri R, Wiest R, Strik W, Walther S.",Cortex. 2020 Nov;132:322-333. doi: 10.1016/j.cortex.2020.05.023. Epub 2020 Aug 27.,Viher PV,Cortex,2020,2020/10/04,,,10.1016/j.cortex.2020.05.023,EP,1,41,39,,,,1,1,motivation,,
32470024,Alterations of functional and structural connectivity in patients with brain metastases,"Hua B, Ding X, Xiong M, Zhang F, Luo Y, Ding J, Ding Z.",PLoS One. 2020 May 29;15(5):e0233833. doi: 10.1371/journal.pone.0233833. eCollection 2020.,Hua B,PLoS One,2020,2020/05/30,PMC7259727,,10.1371/journal.pone.0233833,EP,1,14,16,,,,0,,,,
32604403,Structural-functional decoupling predicts suicide attempts in bipolar disorder patients with a current major depressive episode,"Jiang H, Zhu R, Tian S, Wang H, Chen Z, Wang X, Shao J, Qin J, Shi J, Liu H, Chen Y, Yao Z, Lu Q.",Neuropsychopharmacology. 2020 Sep;45(10):1735-1742. doi: 10.1038/s41386-020-0753-5. Epub 2020 Jun 30.,Jiang H,Neuropsychopharmacology,2020,2020/07/01,PMC7421902,,10.1038/s41386-020-0753-5,EP,1,191,113,,,,0,,,,
32267024,Functional and anatomical brain connectivity in psoriasis patients and healthy controls: a pilot brain imaging study after exposure to mentally induced itch,"Najafi P, Ben Salem D, Carré JL, Misery L, Dufor O.",J Eur Acad Dermatol Venereol. 2020 Nov;34(11):2557-2565. doi: 10.1111/jdv.16441. Epub 2020 May 19.,Najafi P,J Eur Acad Dermatol Venereol,2020,2020/04/09,,,10.1111/jdv.16441,EP,1,14,15,,,,0,,,,
