PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Include,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Mentions power,Power analysis,Power discussion,REMARKS
33002233,Pallidal Connectivity Profiling of Stimulation-Induced Dyskinesia in Parkinson's Disease,"Tsuboi T, Charbel M, Peterside DT, Rana M, Elkouzi A, Deeb W, Ramirez-Zamora A, Lemos Melo Lobo Jofili Lopes J, Almeida L, Zeilman PR, Eisinger RS, Foote KD, Okromelidze L, Grewal SS, Okun MS, Middlebrooks EH.",Mov Disord. 2021 Feb;36(2):380-388. doi: 10.1002/mds.28324. Epub 2020 Oct 1.,Tsuboi T,Mov Disord,2021,2020/10/01,,,10.1002/mds.28324,1,48,20,,,,0,0,,
34134504,Structural Connectivity Remote From Lesions Correlates With Somatosensory Outcome Poststroke,"Koh CL, Yeh CH, Liang X, Vidyasagar R, Seitz RJ, Nilsson M, Connelly A, Carey LM.",Stroke. 2021 Aug;52(9):2910-2920. doi: 10.1161/STROKEAHA.120.031520. Epub 2021 Jun 17.,Koh CL,Stroke,2021,2021/06/17,,,10.1161/STROKEAHA.120.031520,1,37,26,,,,1,0,limitation,
32741703,Subcallosal Cingulate Structural Connectivity Differs in Responders and Nonresponders to Electroconvulsive Therapy,"Tsolaki E, Narr KL, Espinoza R, Wade B, Hellemann G, Kubicki A, Vasavada M, Njau S, Pouratian N.",Biol Psychiatry Cogn Neurosci Neuroimaging. 2021 Jan;6(1):10-19. doi: 10.1016/j.bpsc.2020.05.010. Epub 2020 Jun 6.,Tsolaki E,Biol Psychiatry Cogn Neurosci Neuroimaging,2021,2020/08/04,,,10.1016/j.bpsc.2020.05.010,1,43,31,,,,1,0,"motivation, limitation",
34675796,Altered Volume and Structural Connectivity of the Hippocampus in Alzheimer's Disease and Amnestic Mild Cognitive Impairment,"Feng F, Huang W, Meng Q, Hao W, Yao H, Zhou B, Guo Y, Zhao C, An N, Wang L, Huang X, Zhang X, Shu N.",Front Aging Neurosci. 2021 Oct 5;13:705030. doi: 10.3389/fnagi.2021.705030. eCollection 2021.,Feng F,Front Aging Neurosci,2021,2021/10/22,PMC8524052,,10.3389/fnagi.2021.705030,1,36,41,30,,,0,0,,
33730218,Connective profiles and antagonism between dynamic and static connectivity underlying generalized epilepsy,"Jiang S, Li H, Pei H, Liu L, Li Z, Chen Y, Li X, Li Q, Yao D, Luo C.",Brain Struct Funct. 2021 Jun;226(5):1423-1435. doi: 10.1007/s00429-021-02248-1. Epub 2021 Mar 17.,Jiang S,Brain Struct Funct,2021,2021/03/17,,,10.1007/s00429-021-02248-1,1,83,106,,,,0,0,,
34135748,Cortical Structural Connectivity Alterations and Potential Pathogenesis in Mid-Stage Sporadic Parkinson's Disease,"Deng X, Liu Z, Kang Q, Lu L, Zhu Y, Xu R.",Front Aging Neurosci. 2021 May 31;13:650371. doi: 10.3389/fnagi.2021.650371. eCollection 2021.,Deng X,Front Aging Neurosci,2021,2021/06/17,PMC8200851,,10.3389/fnagi.2021.650371,1,65,35,,,,0,0,,
34275914,Structural connectivity changes in the motor execution network after stroke rehabilitation,"Wanni Arachchige PR, Karunarathna S, Meidian AC, Ueda R, Uchida W, Abo M, Senoo A.",Restor Neurol Neurosci. 2021;39(4):237-245. doi: 10.3233/RNN-211148.,Wanni Arachchige PR,Restor Neurol Neurosci,2021,2021/07/19,PMC8543268,,10.3233/RNN-211148,1,56,,,,,0,0,,No controls
33657258,Alterations of brain network topology and structural connectivity-functional connectivity coupling in capsular versus pontine stroke,"Chen H, Geng W, Shang S, Shi M, Zhou L, Jiang L, Wang P, Yin X, Chen YC.",Eur J Neurol. 2021 Jun;28(6):1967-1976. doi: 10.1111/ene.14794. Epub 2021 Mar 22.,Chen H,Eur J Neurol,2021,2021/03/03,,,10.1111/ene.14794,1,46,29,36,,,0,0,,
33716679,Thalamic Structural Connectivity Abnormalities in Minimal Hepatic Encephalopathy,"Chen HJ, Zhang XH, Shi JY, Jiang SF, Sun YF, Zhang L, Li D, Chen R.",Front Neuroanat. 2021 Feb 25;15:592772. doi: 10.3389/fnana.2021.592772. eCollection 2021.,Chen HJ,Front Neuroanat,2021,2021/03/15,PMC7947347,,10.3389/fnana.2021.592772,1,52,30,,,,1,0,limitation,
34758203,Search for schizophrenia and bipolar biotypes using functional network properties,"Fernández-Linsenbarth I, Planchuelo-Gómez Á, Beño-Ruiz-de-la-Sierra RM, Díez A, Arjona A, Pérez A, Rodríguez-Lorenzana A, Del Valle P, de Luis-García R, Mascialino G, Holgado-Madera P, Segarra-Echevarría R, Gomez-Pilar J, Núñez P, Bote-Boneaechea B, Zambrana-Gómez A, Roig-Herrero A, Molina V.",Brain Behav. 2021 Dec;11(12):e2415. doi: 10.1002/brb3.2415. Epub 2021 Nov 10.,Fernández-Linsenbarth I,Brain Behav,2021,2021/11/10,PMC8671779,,10.1002/brb3.2415,0,,,,,,,,,EEG study
34522884,Two types of phonological reading impairment in stroke aphasia,"Dickens JV, DeMarco AT, van der Stelt CM, Snider SF, Lacey EH, Medaglia JD, Friedman RB, Turkeltaub PE.",Brain Commun. 2021 Aug 30;3(3):fcab194. doi: 10.1093/braincomms/fcab194. eCollection 2021.,Dickens JV,Brain Commun,2021,2021/09/15,PMC8432944,,10.1093/braincomms/fcab194,1,30,37,,,,0,0,,
34649879,Mechanisms of Network Changes in Cognitive Impairment in Multiple Sclerosis,"Jandric D, Lipp I, Paling D, Rog D, Castellazzi G, Haroon H, Parkes L, Parker GJM, Tomassini V, Muhlert N.",Neurology. 2021 Nov 9;97(19):e1886-e1897. doi: 10.1212/WNL.0000000000012834. Epub 2021 Oct 14.,Jandric D,Neurology,2021,2021/10/15,PMC8601205,,10.1212/WNL.0000000000012834,1,102,27,,,,0,0,,
32861787,Normative vs. patient-specific brain connectivity in deep brain stimulation,"Wang Q, Akram H, Muthuraman M, Gonzalez-Escamilla G, Sheth SA, Oxenford S, Yeh FC, Groppa S, Vanegas-Arroyave N, Zrinzo L, Li N, Kühn A, Horn A.",Neuroimage. 2021 Jan 1;224:117307. doi: 10.1016/j.neuroimage.2020.117307. Epub 2020 Aug 28.,Wang Q,Neuroimage,2021,2020/08/31,,,10.1016/j.neuroimage.2020.117307,1,33,32,85,,,1,0,motivation,no controls
34110654,Temporal lobe epilepsy with or without hippocampal sclerosis: Structural and functional connectivity using advanced MRI techniques,"Lee DA, Lee HJ, Kim HC, Park KM.",J Neuroimaging. 2021 Sep;31(5):973-980. doi: 10.1111/jon.12898. Epub 2021 Jun 10.,Lee DA,J Neuroimaging,2021,2021/06/10,,,10.1111/jon.12898,1,50,25,,,,0,0,,
33827936,Distinct Functional and Structural Connectivity of the Human Hand-Knob Supported by Intraoperative Findings,"Simone L, Viganò L, Fornia L, Howells H, Leonetti A, Puglisi G, Bellacicca A, Bello L, Cerri G.",J Neurosci. 2021 May 12;41(19):4223-4233. doi: 10.1523/JNEUROSCI.1574-20.2021. Epub 2021 Apr 7.,Simone L,J Neurosci,2021,2021/04/08,PMC8143196,,10.1523/JNEUROSCI.1574-20.2021,0,,,,,,,,,no patient data
33973688,Connectivity within regions characterizes epilepsy duration and treatment outcome,"Chen X, Wang Y, Kopetzky SJ, Butz-Ostendorf M, Kaiser M.",Hum Brain Mapp. 2021 Aug 15;42(12):3777-3791. doi: 10.1002/hbm.25464. Epub 2021 May 11.,Chen X,Hum Brain Mapp,2021,2021/05/11,PMC8288103,,10.1002/hbm.25464,1,33,36,,,,0,0,,
33175396,Abnormal structural connectivity in progressive supranuclear palsy-Richardson syndrome,"Prasad S, Rajan A, Pasha SA, Mangalore S, Saini J, Ingalhalikar M, Pal PK.",Acta Neurol Scand. 2021 Apr;143(4):430-440. doi: 10.1111/ane.13372. Epub 2020 Nov 22.,Prasad S,Acta Neurol Scand,2021,2020/11/11,,,10.1111/ane.13372,1,16,12,,,,0,0,,
34305785,Structural and Functional Connectivity Substrates of Cognitive Impairment in Multiple Sclerosis,"Zhang J, Cortese R, De Stefano N, Giorgio A.",Front Neurol. 2021 Jul 8;12:671894. doi: 10.3389/fneur.2021.671894. eCollection 2021.,Zhang J,Front Neurol,2021,2021/07/26,PMC8297166,,10.3389/fneur.2021.671894,0,,,,,,,,,review
33605188,Decoupling of Structural and Functional Connectivity in Hubs and Cognitive Impairment After Mild Traumatic Brain Injury,"Wang S, Gan S, Yang X, Li T, Xiong F, Jia X, Sun Y, Liu J, Zhang M, Bai L.",Brain Connect. 2021 Nov;11(9):745-758. doi: 10.1089/brain.2020.0852. Epub 2021 Sep 23.,Wang S,Brain Connect,2021,2021/02/19,,,10.1089/brain.2020.0852,1,62,37,,,,,,,no access
34905765,Imbalance in Functional and Structural Connectivity Underlying Goal-Directed and Habitual Learning Systems in Obsessive-Compulsive Disorder,"Xu C, Hou G, He T, Ruan Z, Chen J, Wei Z, Seger CA, Chen Q, Peng Z.",Cereb Cortex. 2021 Dec 15:bhab441. doi: 10.1093/cercor/bhab441. Online ahead of print.,Xu C,Cereb Cortex,2021,2021/12/14,,,10.1093/cercor/bhab441,1,45,45,,,,0,0,,
33349287,Structural brain network differences in bipolar disorder using with similarity-based approach,"Ota M, Noda T, Sato N, Hidese S, Teraishi T, Matsuda H, Kunugi H.",Acta Neuropsychiatr. 2021 Jun;33(3):121-125. doi: 10.1017/neu.2020.45. Epub 2020 Dec 22.,Ota M,Acta Neuropsychiatr,2021,2020/12/22,,,10.1017/neu.2020.45,0,73,80,,,,,,,"grey matter networks, not dti"
34351075,Functional redundancy of the premotor network in hemispherotomy patients,"Prillwitz CC, David B, Schlaug G, Deller T, Schramm J, Lindenberg R, Hattingen E, Weber B, Surges R, Elger CE, Rüber T.",Ann Clin Transl Neurol. 2021 Sep;8(9):1796-1808. doi: 10.1002/acn3.51427. Epub 2021 Aug 4.,Prillwitz CC,Ann Clin Transl Neurol,2021,2021/08/05,PMC8419409,,10.1002/acn3.51427,1,25,25,,,,1,0,discussion,
33664644,Effects of Alzheimer's and Vascular Pathologies on Structural Connectivity in Early- and Late-Onset Alzheimer's Disease,"Lee WJ, Yoon CW, Kim SW, Jeong HJ, Seo S, Na DL, Noh Y, Seong JK.",Front Neurosci. 2021 Feb 16;15:606600. doi: 10.3389/fnins.2021.606600. eCollection 2021.,Lee WJ,Front Neurosci,2021,2021/03/05,PMC7921324,,10.3389/fnins.2021.606600,1,88,65,,,,0,0,,
34210030,Brain Connectivity Affecting Gait Function After Unilateral Supratentorial Stroke,"Lee HA, Kim DH.",Brain Sci. 2021 Jun 29;11(7):870. doi: 10.3390/brainsci11070870.,Lee HA,Brain Sci,2021,2021/07/02,PMC8301903,,10.3390/brainsci11070870,1,127,,,,,0,0,,no controls
33993017,Functional and structural connective disturbance of the primary and default network in patients with generalized tonic-clonic seizures,"Zhang Y, Huang G, Liu M, Li M, Wang Z, Wang R, Yang D.",Epilepsy Res. 2021 Aug;174:106595. doi: 10.1016/j.eplepsyres.2021.106595. Epub 2021 Feb 25.,Zhang Y,Epilepsy Res,2021,2021/05/16,,,10.1016/j.eplepsyres.2021.106595,1,56,62,,,,0,0,,
33037819,"Brain Connectivity, and Hormonal and Behavioral Correlates of Sustained Weight Loss in Obese Patients after Laparoscopic Sleeve Gastrectomy","Hu Y, Ji G, Li G, Manza P, Zhang W, Wang J, Lv G, He Y, Zhang Z, Yuan K, von Deneen KM, Chen A, Cui G, Wang H, Wiers CE, Volkow ND, Nie Y, Zhang Y, Wang GJ.",Cereb Cortex. 2021 Jan 5;31(2):1284-1295. doi: 10.1093/cercor/bhaa294.,Hu Y,Cereb Cortex,2021,2020/10/10,PMC8179510,,10.1093/cercor/bhaa294,1,25,30,,,,0,0,,
34481084,Convergent structural network and gene signatures for MRgFUS thalamotomy in patients with Parkinson's disease,"Lin J, Kang X, Xiong Y, Zhang D, Zong R, Yu X, Pan L, Lou X.",Neuroimage. 2021 Nov;243:118550. doi: 10.1016/j.neuroimage.2021.118550. Epub 2021 Sep 2.,Lin J,Neuroimage,2021,2021/09/04,,,10.1016/j.neuroimage.2021.118550,1,9,,,,,0,0,,no controls
34216696,Altered Structural and Functional Connectivity Contribute to Rapid Ejaculation: Insights from a Multimodal Neuroimaging Study,"Gao S, Chen J, Xu Y, Liu S, Lu C, Guan Y, Yang X.",Neuroscience. 2021 Sep 1;471:93-101. doi: 10.1016/j.neuroscience.2021.06.034. Epub 2021 Jun 30.,Gao S,Neuroscience,2021,2021/07/03,,,10.1016/j.neuroscience.2021.06.034,1,32,38,,,,0,0,,
33779812,Tractography patterns of pedunculopontine nucleus deep brain stimulation,"Raghu ALB, Parker T, Zand APD, Payne S, Andersson J, Stein J, Aziz TZ, Green AL.",J Neural Transm (Vienna). 2021 May;128(5):659-670. doi: 10.1007/s00702-021-02327-x. Epub 2021 Mar 29.,Raghu ALB,J Neural Transm (Vienna),2021,2021/03/29,PMC8105200,,10.1007/s00702-021-02327-x,1,8,,,,,1,0,"motivation, limitation",no controls
33972513,Preserved structural connectivity mediates the clinical effect of thrombolysis in patients with anterior-circulation stroke,"Schlemm E, Ingwersen T, Königsberg A, Boutitie F, Ebinger M, Endres M, Fiebach JB, Fiehler J, Galinovic I, Lemmens R, Muir KW, Nighoghossian N, Pedraza S, Puig J, Simonsen CZ, Thijs V, Wouters A, Gerloff C, Thomalla G, Cheng B.",Nat Commun. 2021 May 10;12(1):2590. doi: 10.1038/s41467-021-22786-w.,Schlemm E,Nat Commun,2021,2021/05/11,PMC8110812,,10.1038/s41467-021-22786-w,1,142,127,,,,0,0,,
33385998,Mapping efficacious deep brain stimulation for pediatric dystonia,"Coblentz A, Elias GJB, Boutet A, Germann J, Algarni M, Oliveira LM, Neudorfer C, Widjaja E, Ibrahim GM, Kalia SK, Jain M, Lozano AM, Fasano A.",J Neurosurg Pediatr. 2021 Jan 1;27(3):346-356. doi: 10.3171/2020.7.PEDS20322.,Coblentz A,J Neurosurg Pediatr,2021,2021/01/01,,,10.3171/2020.7.PEDS20322,1,11,,,,,0,0,,no controls
33841087,Functional and Structural Connectivity Between the Left Dorsolateral Prefrontal Cortex and Insula Could Predict the Antidepressant Effects of Repetitive Transcranial Magnetic Stimulation,"Fu Y, Long Z, Luo Q, Xu Z, Xiang Y, Du W, Cao Y, Cheng X, Du L.",Front Neurosci. 2021 Mar 26;15:645936. doi: 10.3389/fnins.2021.645936. eCollection 2021.,Fu Y,Front Neurosci,2021,2021/04/12,PMC8032871,,10.3389/fnins.2021.645936,1,27,,,,,0,0,,no controls
33787079,A connectome-based approach to assess motor outcome after neonatal arterial ischemic stroke,"Al Harrach M, Pretzel P, Groeschel S, Rousseau F, Dhollander T, Hertz-Pannier L, Lefevre J, Chabrier S, Dinomais M; AVCnn study group.",Ann Clin Transl Neurol. 2021 May;8(5):1024-1037. doi: 10.1002/acn3.51292. Epub 2021 Mar 30.,Al Harrach M,Ann Clin Transl Neurol,2021,2021/03/31,PMC8108427,,10.1002/acn3.51292,1,32,30,,,,0,0,,
33834393,White Matter-Based Structural Brain Network of Major Depression,"Chen T, Chen Z, Gong Q.",Adv Exp Med Biol. 2021;1305:35-55. doi: 10.1007/978-981-33-6044-0_3.,Chen T,Adv Exp Med Biol,2021,2021/04/09,,,10.1007/978-981-33-6044-0_3,0,,,,,,,,,review
33160087,Generative network models of altered structural brain connectivity in schizophrenia,"Zhang X, Braun U, Harneit A, Zang Z, Geiger LS, Betzel RF, Chen J, Schweiger JI, Schwarz K, Reinwald JR, Fritze S, Witt S, Rietschel M, Nöthen MM, Degenhardt F, Schwarz E, Hirjak D, Meyer-Lindenberg A, Bassett DS, Tost H.",Neuroimage. 2021 Jan 15;225:117510. doi: 10.1016/j.neuroimage.2020.117510. Epub 2020 Nov 5.,Zhang X,Neuroimage,2021,2020/11/07,,,10.1016/j.neuroimage.2020.117510,1,152,66,32,,,0,0,,
30931824,Single Mild Traumatic Brain Injury Deteriorates Progressive Interhemispheric Functional and Structural Connectivity,"Wang Z, Zhang M, Sun C, Wang S, Cao J, Wang KKW, Gan S, Huang W, Niu X, Zhu Y, Sun Y, Bai L.",J Neurotrauma. 2021 Feb 15;38(4):464-473. doi: 10.1089/neu.2018.6196. Epub 2020 Nov 4.,Wang Z,J Neurotrauma,2021,2019/04/02,,,10.1089/neu.2018.6196,1,42,42,,,,0,0,,
33073892,Functional constipation is associated with alterations in thalamo-limbic/parietal structural connectivity,"Zhang Z, Hu Y, Lv G, Wang J, He Y, Zhang L, Li H, von Deneen KM, Wang H, Duan S, Zhang J, Hou Q, Pan Y, Zhao Y, Mao K, Wang F, Zhang Y, Cui G, Nie Y.",Neurogastroenterol Motil. 2021 Dec;33(12):e13992. doi: 10.1111/nmo.13992. Epub 2020 Oct 19.,Zhang Z,Neurogastroenterol Motil,2021,2020/10/19,,,10.1111/nmo.13992,1,29,31,,,,0,0,,
33752075,Abnormal large-scale structural rich club organization in Leber's hereditary optic neuropathy,"Zhang J, Wang L, Ding H, Fan K, Tian Q, Liang M, Sun Z, Shi D, Qin W.",Neuroimage Clin. 2021;30:102619. doi: 10.1016/j.nicl.2021.102619. Epub 2021 Mar 8.,Zhang J,Neuroimage Clin,2021,2021/03/22,PMC8010853,,10.1016/j.nicl.2021.102619,1,19,36,34,,,0,0,,
34140351,Vocal music listening enhances post-stroke language network reorganization,"Sihvonen AJ, Ripollés P, Leo V, Saunavaara J, Parkkola R, Rodríguez-Fornells A, Soinila S, Särkämö T.",eNeuro. 2021 Jun 17;8(4):ENEURO.0158-21.2021. doi: 10.1523/ENEURO.0158-21.2021. Online ahead of print.,Sihvonen AJ,eNeuro,2021,2021/06/18,PMC8266215,,10.1523/ENEURO.0158-21.2021,1,38,,,,,0,0,,no controls
33626962,Impaired Structural Connectivity in Parkinson's Disease Patients with Mild Cognitive Impairment: A Study Based on Probabilistic Tractography,"Inguanzo A, Segura B, Sala-Llonch R, Monte-Rubio G, Abos A, Campabadal A, Uribe C, Baggio HC, Marti MJ, Valldeoriola F, Compta Y, Bargallo N, Junque C.",Brain Connect. 2021 Jun;11(5):380-392. doi: 10.1089/brain.2020.0939. Epub 2021 Mar 31.,Inguanzo A,Brain Connect,2021,2021/02/25,PMC8215419,,10.1089/brain.2020.0939,1,27,51,35,,,0,0,,
33823388,Altered brain structural connectivity in patients with longstanding gut inflammation is correlated with psychological symptoms and disease duration,"Turkiewicz J, Bhatt RR, Wang H, Vora P, Krause B, Sauk JS, Jacobs JP, Bernstein CN, Kornelsen J, Labus JS, Gupta A, Mayer EA.",Neuroimage Clin. 2021;30:102613. doi: 10.1016/j.nicl.2021.102613. Epub 2021 Mar 9.,Turkiewicz J,Neuroimage Clin,2021,2021/04/06,PMC8050027,,10.1016/j.nicl.2021.102613,1,74,74,74,,,0,0,,
33651331,Disrupted frontostriatal connectivity in primary insomnia: a DTI study,"Chen L, Shao Z, Xu Y, Wang S, Zhang M, Liu S, Wen X, Liu B, Xia X, Yuan K, Yu D.",Brain Imaging Behav. 2021 Oct;15(5):2524-2531. doi: 10.1007/s11682-021-00454-3. Epub 2021 Mar 2.,Chen L,Brain Imaging Behav,2021,2021/03/02,,,10.1007/s11682-021-00454-3,1,22,30,,,,0,0,,
34966255,Dynamic Functional Connectivity Better Predicts Disability Than Structural and Static Functional Connectivity in People With Multiple Sclerosis,"Tozlu C, Jamison K, Gauthier SA, Kuceyeski A.",Front Neurosci. 2021 Dec 13;15:763966. doi: 10.3389/fnins.2021.763966. eCollection 2021.,Tozlu C,Front Neurosci,2021,2021/12/30,PMC8710545,,10.3389/fnins.2021.763966,1,100,19,,,,1,0,protocol?,
33879740,Alteration of brain connectivity in neurologically asymptomatic patients with chronic kidney disease,"Lee YJ, Yoon E, Park S, Kim YW, Kim SE, Ko J, Park JH, Park KM, Kim IH, Park BS.",Medicine (Baltimore). 2021 Apr 23;100(16):e25633. doi: 10.1097/MD.0000000000025633.,Lee YJ,Medicine (Baltimore),2021,2021/04/21,PMC8078245,,10.1097/MD.0000000000025633,1,18,28,,,,1,1,limitations,very confused? focusses on type I errors
34634107,Brain Structural Changes in Carpal Tunnel Syndrome Patients: From the Perspectives of Structural Connectivity and Structural Covariance Network,"Li YL, Wu JJ, Ma J, Li SS, Xue X, Wei D, Shan CL, Zheng MX, Hua XY, Xu JG.",Neurosurgery. 2021 Nov 18;89(6):978-986. doi: 10.1093/neuros/nyab335.,Li YL,Neurosurgery,2021,2021/10/11,,,10.1093/neuros/nyab335,1,27,19,,,,0,0,,
31986957,Cerebral microinfarcts affect brain structural network topology in cognitively impaired patients,"Zhang L, Biessels GJ, Hilal S, Chong JSX, Liu S, Shim HY, Xu X, Chong EJY, Wong ZX, Loke YM, Venketasubramanian N, Yeow TB, Chen CL, Zhou JH.",J Cereb Blood Flow Metab. 2021 Jan;41(1):105-115. doi: 10.1177/0271678X20902187. Epub 2020 Jan 27.,Zhang L,J Cereb Blood Flow Metab,2021,2020/01/29,PMC7747167,,10.1177/0271678X20902187,1,26,66,28,82,,1,0,motivation,
33462205,Pallidal stimulation as treatment for camptocormia in Parkinson's disease,"Lai Y, Song Y, Su D, Wang L, Zhang C, Sun B, Nonnekes J, Bloem BR, Li D.",NPJ Parkinsons Dis. 2021 Jan 18;7(1):8. doi: 10.1038/s41531-020-00151-w.,Lai Y,NPJ Parkinsons Dis,2021,2021/01/19,PMC7813849,,10.1038/s41531-020-00151-w,0,,,,,,,,,no controls
34177548,Interactions Between Aging and Alzheimer's Disease on Structural Brain Networks,"Wu Z, Gao Y, Potter T, Benoit J, Shen J, Schulz PE, Zhang Y; and The Alzheimer’s Disease Neuroimaging Initiative.",Front Aging Neurosci. 2021 Jun 10;13:639795. doi: 10.3389/fnagi.2021.639795. eCollection 2021.,Wu Z,Front Aging Neurosci,2021,2021/06/28,PMC8222527,,10.3389/fnagi.2021.639795,1,37,45,27,30,,0,0,,
33095382,Hippocampal connectivity in Amyotrophic Lateral Sclerosis (ALS): more than Papez circuit impairment,"Trojsi F, Di Nardo F, Caiazzo G, Siciliano M, D'Alvano G, Ferrantino T, Passaniti C, Ricciardi D, Esposito S, Lavorgna L, Russo A, Bonavita S, Cirillo M, Santangelo G, Esposito F, Tedeschi G.",Brain Imaging Behav. 2021 Aug;15(4):2126-2138. doi: 10.1007/s11682-020-00408-1. Epub 2020 Oct 23.,Trojsi F,Brain Imaging Behav,2021,2020/10/23,PMC8413176,,10.1007/s11682-020-00408-1,1,32,21,,,,0,0,,
