random order,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Rater,Rater,Include,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Mentions power,Power analysis,Power discussion,REMARKS,64
10,29280246,Rich club and reward network connectivity as endophenotypes for alcohol dependence: a diffusion tensor imaging study,"Zorlu N, Çapraz N, Oztekin E, Bagci B, Di Biase MA, Zalesky A, Gelal F, Bora E, Durmaz E, Beşiroğlu L, Sarıçiçek A.",Addict Biol. 2019 Mar;24(2):265-274. doi: 10.1111/adb.12599. Epub 2017 Dec 27.,Zorlu N,Addict Biol,2019,2017/12/28,,,10.1111/adb.12599,K,,1,18,15,15,,,1,0,limitation,,
11,30253000,Intrinsic functional and structural connectivity of emotion regulation networks in obsessive-compulsive disorder,"Picó-Pérez M, Ipser J, Taylor P, Alonso P, López-Solà C, Real E, Segalàs C, Roos A, Menchón JM, Stein DJ, Soriano-Mas C.",Depress Anxiety. 2019 Feb;36(2):110-120. doi: 10.1002/da.22845. Epub 2018 Sep 25.,Picó-Pérez M,Depress Anxiety,2019,2018/09/26,PMC8980996,NIHMS988636,10.1002/da.22845,K,,1,73,42,,,,0,0,,,
12,31404311,Alterations in White Matter Network and Microstructural Integrity Differentiate Parkinson's Disease Patients and Healthy Subjects,"Koirala N, Anwar AR, Ciolac D, Glaser M, Pintea B, Deuschl G, Muthuraman M, Groppa S.",Front Aging Neurosci. 2019 Jul 26;11:191. doi: 10.3389/fnagi.2019.00191. eCollection 2019.,Koirala N,Front Aging Neurosci,2019,2019/08/13,PMC6676803,,10.3389/fnagi.2019.00191,K,,1,12,166,,,,0,0,,,
13,31355051,ReAl-LiFE: Accelerating the Discovery of Individualized Brain Connectomes on GPUs,"Kumar S, Sreenivasan V, Talukdar P, Pestilli F, Sridharan D.",Proc Conf AAAI Artif Intell. 2019 Jun 14;33(1):630-638. doi: 10.1609/aaai.v33i01.3301630. Epub 2019 Jul 23.,Kumar S,Proc Conf AAAI Artif Intell,2019,2019/07/30,PMC6660316,EMS83385,10.1609/aaai.v33i01.3301630,K,,0,,,,,,,,,prediction,
14,31164006,Evidence for Network-Based Cortical Thickness Reductions in Schizophrenia,"Wannan CMJ, Cropley VL, Chakravarty MM, Bousman C, Ganella EP, Bruggemann JM, Weickert TW, Weickert CS, Everall I, McGorry P, Velakoulis D, Wood SJ, Bartholomeusz CF, Pantelis C, Zalesky A.",Am J Psychiatry. 2019 Jul 1;176(7):552-563. doi: 10.1176/appi.ajp.2019.18040380. Epub 2019 Jun 5.,Wannan CMJ,Am J Psychiatry,2019,2019/06/06,,,10.1176/appi.ajp.2019.18040380,K,,1,153,168,70,57,54,0,0,,,
15,30853896,Default Mode Network Structural Integrity and Cerebellar Connectivity Predict Information Processing Speed Deficit in Multiple Sclerosis,"Savini G, Pardini M, Castellazzi G, Lascialfari A, Chard D, D'Angelo E, Gandini Wheeler-Kingshott CAM.",Front Cell Neurosci. 2019 Feb 11;13:21. doi: 10.3389/fncel.2019.00021. eCollection 2019.,Savini G,Front Cell Neurosci,2019,2019/03/12,PMC6396736,,10.3389/fncel.2019.00021,K,,1,68,22,,,,0,0,,case/control seems secondary...,
16,30240903,Early breast milk exposure modifies brain connectivity in preterm infants,"Blesa M, Sullivan G, Anblagan D, Telford EJ, Quigley AJ, Sparrow SA, Serag A, Semple SI, Bastin ME, Boardman JP.",Neuroimage. 2019 Jan 1;184:431-439. doi: 10.1016/j.neuroimage.2018.09.045. Epub 2018 Sep 18.,Blesa M,Neuroimage,2019,2018/09/22,,,10.1016/j.neuroimage.2018.09.045,K,,1,27,20,,,,0,0,,,
17,29560834,Comparison of structural connectivity in Parkinson's disease with depressive symptoms versus non-depressed: a diffusion MRI connectometry study,"Ansari M, Adib Moradi S, Ghazi Sherbaf F, Hedayatnia A, Aarabi MH.",Int Psychogeriatr. 2019 Jan;31(1):5-12. doi: 10.1017/S1041610218000170. Epub 2018 Mar 21.,Ansari M,Int Psychogeriatr,2019,2018/03/22,,,10.1017/S1041610218000170,K,,1,40,19,,,,0,0,,,
18,30670359,Personalized striatal targets for deep brain stimulation in obsessive-compulsive disorder,"Barcia JA, Avecillas-Chasín JM, Nombela C, Arza R, García-Albea J, Pineda-Pardo JA, Reneses B, Strange BA.",Brain Stimul. 2019 May-Jun;12(3):724-734. doi: 10.1016/j.brs.2018.12.226. Epub 2018 Dec 20.,Barcia JA,Brain Stimul,2019,2019/01/24,,,10.1016/j.brs.2018.12.226,K,,0,,,,,,,,,not case/control,
19,31366395,"COGTIPS: a double-blind randomized active controlled trial protocol to study the effect of home-based, online cognitive training on cognition and brain networks in Parkinson's disease","van Balkom TD, Berendse HW, van der Werf YD, Twisk JWR, Zijlstra I, Hagen RH, Berk T, Vriend C, van den Heuvel OA.",BMC Neurol. 2019 Jul 31;19(1):179. doi: 10.1186/s12883-019-1403-6.,van Balkom TD,BMC Neurol,2019,2019/08/02,PMC6668056,,10.1186/s12883-019-1403-6,K,,0,,,,,,,,,preregistration,
20,31205489,Structural brain signature of cognitive decline in Parkinson's disease: DTI-based evidence from the LANDSCAPE study,"Gorges M, Müller HP, Liepelt-Scarfone I, Storch A, Dodel R; LANDSCAPE Consortium, Hilker-Roggendorf R, Berg D, Kunz MS, Kalbe E, Baudrexel S, Kassubek J.",Ther Adv Neurol Disord. 2019 May 16;12:1756286419843447. doi: 10.1177/1756286419843447. eCollection 2019.,Gorges M,Ther Adv Neurol Disord,2019,2019/06/18,PMC6535714,,10.1177/1756286419843447,K,,1,56,67,11,72,,1,0,limitation,,
21,31712681,Differentiation of multiple system atrophy from Parkinson's disease by structural connectivity derived from probabilistic tractography,"Abos A, Baggio HC, Segura B, Campabadal A, Uribe C, Giraldo DM, Perez-Soriano A, Muñoz E, Compta Y, Junque C, Marti MJ.",Sci Rep. 2019 Nov 11;9(1):16488. doi: 10.1038/s41598-019-52829-8.,Abos A,Sci Rep,2019,2019/11/13,PMC6848175,,10.1038/s41598-019-52829-8,K,,1,54,31,65,,,0,0,,,
22,31484066,Structural Disconnections Explain Brain Network Dysfunction after Stroke,"Griffis JC, Metcalf NV, Corbetta M, Shulman GL.",Cell Rep. 2019 Sep 3;28(10):2527-2540.e9. doi: 10.1016/j.celrep.2019.07.100.,Griffis JC,Cell Rep,2019,2019/09/05,PMC7032047,NIHMS1539133,10.1016/j.celrep.2019.07.100,K,,0,,,,,,,,,FC (structural data is from template),
23,30229715,Hippocampal-subregion functional alterations associated with antidepressant effects and cognitive impairments of electroconvulsive therapy,"Bai T, Wei Q, Xie W, Wang A, Wang J, Ji GJ, Wang K, Tian Y.",Psychol Med. 2019 Jun;49(8):1357-1364. doi: 10.1017/S0033291718002684. Epub 2018 Sep 19.,Bai T,Psychol Med,2019,2018/09/20,PMC6518386,,10.1017/S0033291718002684,K,,0,,,,,,,,,not case/control,
24,31484060,Color Categorization Independent of Color Naming,"Siuda-Krzywicka K, Witzel C, Chabani E, Taga M, Coste C, Cools N, Ferrieux S, Cohen L, Seidel Malkinson T, Bartolomeo P.",Cell Rep. 2019 Sep 3;28(10):2471-2479.e5. doi: 10.1016/j.celrep.2019.08.003.,Siuda-Krzywicka K,Cell Rep,2019,2019/09/05,,,10.1016/j.celrep.2019.08.003,K,,0,,,,,,,,,case report,
25,31638580,Multimodal assessment of language and memory reorganization: a proof of concept in two patients with drug-resistant temporal lobe epilepsy,"Roger E, Pichat C, Renard F, Cousin E, Perrone-Bertolotti M, Hot P, Minotti L, Job AS, Kahane P, Trebuchon A, Krainik A, Baciu M.",Epileptic Disord. 2019 Oct 1;21(5):411-424. doi: 10.1684/epd.2019.1092.,Roger E,Epileptic Disord,2019,2019/10/23,,,10.1684/epd.2019.1092,K,,0,,,,,,,,,case report,
26,30660115,Iron concentration linked to structural connectivity in the subthalamic nucleus: implications for deep brain stimulation,"Dimov A, Patel W, Yao Y, Wang Y, O'Halloran R, Kopell BH.",J Neurosurg. 2019 Jan 18:1-8. doi: 10.3171/2018.8.JNS18531. Online ahead of print.,Dimov A,J Neurosurg,2019,2019/01/20,,,10.3171/2018.8.JNS18531,K,,0,,,,,,,,,not case/control,
27,31474818,Determinants of Inter-Individual Variability in Corticomotor Excitability Induced by Paired Associative Stimulation,"Minkova L, Peter J, Abdulkadir A, Schumacher LV, Kaller CP, Nissen C, Klöppel S, Lahr J.",Front Neurosci. 2019 Aug 14;13:841. doi: 10.3389/fnins.2019.00841. eCollection 2019.,Minkova L,Front Neurosci,2019,2019/09/03,PMC6702284,,10.3389/fnins.2019.00841,K,,1,22,19,,,,1,0,"motivation, limitation",,
28,30723671,Longitudinal brain functional and structural connectivity changes after hemispherotomy in two pediatric patients with drug-resistant epilepsy,"Li Y, Wang Y, Tan Z, Chen Q, Huang W.",Epilepsy Behav Case Rep. 2018 Nov 24;11:58-66. doi: 10.1016/j.ebcr.2018.11.003. eCollection 2019.,Li Y,Epilepsy Behav Case Rep,2018,2019/02/07,PMC6350230,,10.1016/j.ebcr.2018.11.003,MP,,0,,,,,,,,,,
29,31651705,Bihemispheric changes associated with cognition in patients with chronic brainstem stroke,"Ahn D, Kyeong S, Kang H, Kim DH.",Neuroreport. 2019 Dec 18;30(18):1278-1283. doi: 10.1097/WNR.0000000000001356.,Ahn D,Neuroreport,2019,2019/10/26,,,10.1097/WNR.0000000000001356,MP,,1,12,24,,,,0,0,,,
30,30453198,"Lower self-report fatigue in multiple sclerosis is associated with localized white matter tract disruption between amygdala, temporal pole, insula, and other connected structures","Fuchs TA, Vaughn CB, Benedict RHB, Weinstock-Guttman B, Choudhery S, Carolus K, Rooney P, Ashton K, P Ramasamy D, Jakimovski D, Zivadinov R, Dwyer MG.",Mult Scler Relat Disord. 2019 Jan;27:298-304. doi: 10.1016/j.msard.2018.11.005. Epub 2018 Nov 9.,Fuchs TA,Mult Scler Relat Disord,2019,2018/11/20,,,10.1016/j.msard.2018.11.005,MP,,1,137,50,,,,1,0,motivation,NBS,
31,30737626,Multimodal neuroimaging study reveals dissociable processes between structural and functional networks in patients with subacute intracerebral hemorrhage,"Zhang X, Yu X, Bao Q, Yang L, Sun Y, Qi P.",Med Biol Eng Comput. 2019 Jun;57(6):1285-1295. doi: 10.1007/s11517-019-01953-8. Epub 2019 Feb 9.,Zhang X,Med Biol Eng Comput,2019,2019/02/10,,,10.1007/s11517-019-01953-8,MP,,1,26,20,,,,1,0,motivation,we opted for a larger number of patients rather than reduced power by including patients with homogeneous lesion,
32,30365968,Evaluating cellularity and structural connectivity on whole brain slides using a custom-made digital pathology pipeline,"Roetzer T, Leskovar K, Peter N, Furtner J, Muck M, Augustin M, Lichtenegger A, Nowosielski M, Hainfellner JA, Baumann B, Woehrer A.",J Neurosci Methods. 2019 Jan 1;311:215-221. doi: 10.1016/j.jneumeth.2018.10.029. Epub 2018 Oct 24.,Roetzer T,J Neurosci Methods,2019,2018/10/27,PMC6269083,,10.1016/j.jneumeth.2018.10.029,MP,,0,,,,,,,,,,
33,31062161,Diffusion weighted imaging evidence of extra-callosal pathways for interhemispheric communication after complete commissurotomy,"Nomi JS, Marshall E, Zaidel E, Biswal B, Castellanos FX, Dick AS, Uddin LQ, Mooshagian E.",Brain Struct Funct. 2019 Jun;224(5):1897-1909. doi: 10.1007/s00429-019-01864-2. Epub 2019 May 7.,Nomi JS,Brain Struct Funct,2019,2019/05/08,PMC6565442,NIHMS1528693,10.1007/s00429-019-01864-2,MP,,0,,,,,,,,,,
34,31507513,Networks Disrupted in Linguistic Variants of Frontotemporal Dementia,"Reyes PA, Rueda ADP, Uriza F, Matallana DL.",Front Neurol. 2019 Aug 23;10:903. doi: 10.3389/fneur.2019.00903. eCollection 2019.,Reyes PA,Front Neurol,2019,2019/09/12,PMC6716200,,10.3389/fneur.2019.00903,MP,,1,33,26,20,,,0,0,,,
35,31236577,Propofol-induced loss of consciousness is associated with a decrease in thalamocortical connectivity in humans,"Malekmohammadi M, Price CM, Hudson AE, DiCesare JAT, Pouratian N.",Brain. 2019 Aug 1;142(8):2288-2302. doi: 10.1093/brain/awz169.,Malekmohammadi M,Brain,2019,2019/06/26,PMC6931391,,10.1093/brain/awz169,MP,,0,10,,,,,,,,,
36,30315394,Alterations of the brain network in idiopathic rapid eye movement sleep behavior disorder: structural connectivity analysis,"Park KM, Lee HJ, Lee BI, Kim SE.",Sleep Breath. 2019 Jun;23(2):587-593. doi: 10.1007/s11325-018-1737-0. Epub 2018 Oct 12.,Park KM,Sleep Breath,2019,2018/10/14,,,10.1007/s11325-018-1737-0,MP,,0,10,,,,,,,,,
37,30710870,Multiparametric graph theoretical analysis reveals altered structural and functional network topology in Alzheimer's disease,"Lin SY, Lin CP, Hsieh TJ, Lin CF, Chen SH, Chao YP, Chen YS, Hsu CC, Kuo LW.",Neuroimage Clin. 2019;22:101680. doi: 10.1016/j.nicl.2019.101680. Epub 2019 Jan 25.,Lin SY,Neuroimage Clin,2019,2019/02/03,PMC6357901,,10.1016/j.nicl.2019.101680,MP,,1,27,23,23,,,0,0,,,
38,30552481,Altered structural connectivity of the motor subnetwork in multiple system atrophy with cerebellar features,"Shah A, Prasad S, Rastogi B, Dash S, Saini J, Pal PK, Ingalhalikar M.",Eur Radiol. 2019 Jun;29(6):2783-2791. doi: 10.1007/s00330-018-5874-4. Epub 2018 Dec 14.,Shah A,Eur Radiol,2019,2018/12/16,,,10.1007/s00330-018-5874-4,MP,,1,23,25,,,,1,0,motivation,using NBS which is a powerful tool,
39,31132567,Alterations in white matter microstructure and cortical thickness in individuals at ultra-high risk of psychosis: A multimodal tractography and surface-based morphometry study,"Tomyshev AS, Lebedeva IS, Akhadov TA, Omelchenko MA, Rumyantsev AO, Kaleda VG.",Psychiatry Res Neuroimaging. 2019 Jul 30;289:26-36. doi: 10.1016/j.pscychresns.2019.05.002. Epub 2019 May 9.,Tomyshev AS,Psychiatry Res Neuroimaging,2019,2019/05/28,,,10.1016/j.pscychresns.2019.05.002,MP,,1,30,30,,,,0,0,,,
40,31094654,Functional imaging localization of complex organic hallucinations,"Bernal B, Guillen M, Ragheb J, Altman N, Ibrahim GM, LaPlante P, Padilla A, Duchowny M.",Neurocase. 2019 Jun-Aug;25(3-4):91-97. doi: 10.1080/13554794.2019.1611866. Epub 2019 May 16.,Bernal B,Neurocase,2019,2019/05/17,,,10.1080/13554794.2019.1611866,MP,,0,,,,,,,,,,
41,31382241,Widespread white matter connectivity abnormalities in narcolepsy type 1: A diffusion tensor imaging study,"Gool JK, Fronczek R, Leemans A, Kies DA, Lammers GJ, Van der Werf YD.",Neuroimage Clin. 2019;24:101963. doi: 10.1016/j.nicl.2019.101963. Epub 2019 Jul 29.,Gool JK,Neuroimage Clin,2019,2019/08/06,PMC6698319,,10.1016/j.nicl.2019.101963,MP,,1,12,11,,,,0,0,,,
42,29542093,Posterior limb of the internal capsule predicts poor quality of life in patients with Parkinson's disease: connectometry approach,"Ghazi Sherbaf F, Mojtahed Zadeh M, Haghshomar M, Aarabi MH.",Acta Neurol Belg. 2019 Mar;119(1):95-100. doi: 10.1007/s13760-018-0910-3. Epub 2018 Mar 14.,Ghazi Sherbaf F,Acta Neurol Belg,2019,2018/03/16,,,10.1007/s13760-018-0910-3,MP,,0,,,,,,,,,,
43,31534829,Characterizing Thalamo-Cortical Structural Connectivity in Essential Tremor with Diffusional Kurtosis Imaging Tractography,"Revuelta G, McGill C, Jensen JH, Bonilha L.",Tremor Other Hyperkinet Mov (N Y). 2019 Sep 2;9. doi: 10.7916/tohm.v0.690. eCollection 2019.,Revuelta G,Tremor Other Hyperkinet Mov (N Y),2019,2019/09/20,PMC6727860,,10.7916/tohm.v0.690,MP,,1,18,10,,,,0,0,,,
44,31209121,Fronto-parietal contributions to episodic retrieval-evidence from neurodegenerative disorders,"Ramanan S, Strikwerda-Brown C, Mothakunnel A, Hodges JR, Piguet O, Irish M.",Learn Mem. 2019 Jun 17;26(7):262-271. doi: 10.1101/lm.048454.118. Print 2019 Jul.,Ramanan S,Learn Mem,2019,2019/06/19,PMC6581008,,10.1101/lm.048454.118,MP,,1,19,25,,,,1,0,motivation,,
45,31678911,Increased structural connectivity of the medial forebrain bundle in schizophrenia spectrum disorders is associated with delusions of paranoid threat and grandiosity,"Bracht T, Viher PV, Stegmayer K, Strik W, Federspiel A, Wiest R, Walther S.",Neuroimage Clin. 2019;24:102044. doi: 10.1016/j.nicl.2019.102044. Epub 2019 Oct 18.,Bracht T,Neuroimage Clin,2019,2019/11/04,PMC6978276,,10.1016/j.nicl.2019.102044,MP,,1,46,40,,,,0,0,,,
46,30630882,Structural Thalamofrontal Hypoconnectivity Is Related to Oculomotor Corollary Discharge Dysfunction in Schizophrenia,"Yao B, Neggers SFW, Rolfs M, Rösler L, Thompson IA, Hopman HJ, Ghermezi L, Kahn RS, Thakkar KN.",J Neurosci. 2019 Mar 13;39(11):2102-2113. doi: 10.1523/JNEUROSCI.1473-18.2019. Epub 2019 Jan 10.,Yao B,J Neurosci,2019,2019/01/12,PMC6507081,,10.1523/JNEUROSCI.1473-18.2019,MP,,,22,24,,,,1,,limitation/motivation,,
47,31232080,New Graph-Theoretical-Multimodal Approach Using Temporal and Structural Correlations Reveals Disruption in the Thalamo-Cortical Network in Patients with Schizophrenia,"Finotelli P, Forlim CG, Klock L, Pini A, Bächle J, Stoll L, Giemsa P, Fuchs M, Schoofs N, Montag C, Dulio P, Gallinat J, Kühn S.",Brain Connect. 2019 Dec;9(10):760-769. doi: 10.1089/brain.2018.0654. Epub 2019 Oct 7.,Finotelli P,Brain Connect,2019,2019/06/25,,,10.1089/brain.2018.0654,MP,,1,35,41,,,,1,0,interpretation,,
48,31461817,[The correlation of functional connectivity and structural connectivity between hippocampus and thalamus in Alzheimer's disease and amnestic mild cognitive impairment],"Feng F, Zhou B, Wang L, Yao HX, Guo YE, An NY, Wang LN, Zhang X.",Zhonghua Nei Ke Za Zhi. 2019 Sep 1;58(9):662-667. doi: 10.3760/cma.j.issn.0578-1426.2019.09.006.,Feng F,Zhonghua Nei Ke Za Zhi,2019,2019/08/29,,,10.3760/cma.j.issn.0578-1426.2019.09.006,MP,,1,40,41,37,,,0,0,,no access,
49,29911280,Claustral structural connectivity and cognitive impairment in drug naïve Parkinson's disease,"Arrigo A, Calamuneri A, Milardi D, Mormina E, Gaeta M, Corallo F, Lo Buono V, Chillemi G, Marino S, Cacciola A, Di Lorenzo G, Rizzo G, Anastasi GP, Quartarone A.",Brain Imaging Behav. 2019 Aug;13(4):933-944. doi: 10.1007/s11682-018-9907-z.,Arrigo A,Brain Imaging Behav,2019,2018/06/19,,,10.1007/s11682-018-9907-z,MP,,1,15,15,,,,1,0,limitation,,
50,30553155,Disrupted structural and functional brain networks in Alzheimer's disease,"Dai Z, Lin Q, Li T, Wang X, Yuan H, Yu X, He Y, Wang H.",Neurobiol Aging. 2019 Mar;75:71-82. doi: 10.1016/j.neurobiolaging.2018.11.005. Epub 2018 Nov 16.,Dai Z,Neurobiol Aging,2019,2018/12/16,,,10.1016/j.neurobiolaging.2018.11.005,MP,,1,39,46,,,,1,0,motivation,,
51,31228639,Social cognition in psychosis: Predictors and effects of META-cognitive training,"Alvarez-Astorga A, Sotelo E, Lubeiro A, de Luis R, Gomez-Pilar J, Becoechea B, Molina V.",Prog Neuropsychopharmacol Biol Psychiatry. 2019 Aug 30;94:109672. doi: 10.1016/j.pnpbp.2019.109672. Epub 2019 Jun 19.,Alvarez-Astorga A,Prog Neuropsychopharmacol Biol Psychiatry,2019,2019/06/23,,,10.1016/j.pnpbp.2019.109672,MP,,1,79,38,,,,1,0,limitation,,
52,31014369,Structural and functional brain biomarkers of clinical response to rTMS of medication-resistant auditory hallucinations in schizophrenia patients: study protocol for a randomized sham-controlled double-blind clinical trial,"Thomas F, Bouaziz N, Gallea C, Schenin-King Andrianisaina P, Durand F, Bolloré O, Benadhira R, Isaac C, Braha-Zeitoun S, Moulier V, Valero-Cabré A, Januel D.",Trials. 2019 Apr 23;20(1):229. doi: 10.1186/s13063-019-3311-x.,Thomas F,Trials,2019,2019/04/25,PMC6480831,,10.1186/s13063-019-3311-x,MP,,0,,,,,,,,,,
53,31158720,Examining raphe-amygdala structural connectivity as a biological predictor of SSRI response,"Pillai RLI, Huang C, LaBella A, Zhang M, Yang J, Trivedi M, Weissman M, McGrath P, Fava M, Kurian B, Cooper C, McInnis M, Oquendo MA, Pizzagalli DA, Parsey RV, DeLorenzo C.",J Affect Disord. 2019 Sep 1;256:8-16. doi: 10.1016/j.jad.2019.05.055. Epub 2019 May 28.,Pillai RLI,J Affect Disord,2019,2019/06/04,PMC6750958,NIHMS1033543,10.1016/j.jad.2019.05.055,MP,,1,74,70,,,,1,0,"motivation, interpretation",also within-study design; Convinced that they have enough power,
54,30790676,Structural connectivity in schizophrenia and bipolar disorder: Effects of chronicity and antipsychotic treatment,"Cea-Cañas B, de Luis R, Lubeiro A, Gomez-Pilar J, Sotelo E, Del Valle P, Gómez-García M, Alonso-Sánchez A, Molina V.",Prog Neuropsychopharmacol Biol Psychiatry. 2019 Jun 8;92:369-377. doi: 10.1016/j.pnpbp.2019.02.006. Epub 2019 Feb 18.,Cea-Cañas B,Prog Neuropsychopharmacol Biol Psychiatry,2019,2019/02/22,,,10.1016/j.pnpbp.2019.02.006,MP,,1,25,18,24,28,,0,0,,,
55,30234424,Transcallosal Fiber Disruption and its Relationship with Corresponding Gray Matter Alteration in Patients with Diffuse Axonal Injury,"Ubukata S, Oishi N, Sugihara G, Aso T, Fukuyama H, Murai T, Ueda K.",J Neurotrauma. 2019 Apr 1;36(7):1106-1114. doi: 10.1089/neu.2018.5823. Epub 2018 Oct 19.,Ubukata S,J Neurotrauma,2019,2018/09/21,,,10.1089/neu.2018.5823,MP,,1,24,24,,,,0,0,,,
56,31033639,Altered structural connectivity associated with motor improvement in chronic supratentorial ischemic stroke,"Lee SH, Kyeong S, Kang H, Kyeong S, Kim DH.",Neuroreport. 2019 Jun 12;30(9):688-693. doi: 10.1097/WNR.0000000000001261.,Lee SH,Neuroreport,2019,2019/04/30,,,10.1097/WNR.0000000000001261,MP,,0,44,59,,,,,,,,
57,31077981,The impact of white matter hyperintensities on the structural connectome in late-life depression: Relationship to executive functions,"Respino M, Jaywant A, Kuceyeski A, Victoria LW, Hoptman MJ, Scult MA, Sankin L, Pimontel M, Liston C, Belvederi Murri M, Alexopoulos GS, Gunning FM.",Neuroimage Clin. 2019;23:101852. doi: 10.1016/j.nicl.2019.101852. Epub 2019 May 3.,Respino M,Neuroimage Clin,2019,2019/05/12,PMC6514361,,10.1016/j.nicl.2019.101852,MP,,1,44,59,,,,0,0,,,
