PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Include,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Mentions power,Power analysis,Power discussion,REMARKS,
34964182,Thalamic altered spontaneous activity and connectivity in obstructive sleep apnea syndrome,"Santarnecchi E, Sprugnoli G, Sicilia I, Dukart J, Neri F, Romanella SM, Cerase A, Vatti G, Rocchi R, Rossi A.",J Neuroimaging. 2022 Mar;32(2):314-327. doi: 10.1111/jon.12952. Epub 2021 Dec 28.,Santarnecchi E,J Neuroimaging,2022,2021/12/29,,,10.1111/jon.12952,1,20,20,,,,0,0,,,
32125611,Altered static and dynamic voxel-mirrored homotopic connectivity in subacute stroke patients: a resting-state fMRI study,"Chen J, Sun D, Shi Y, Jin W, Wang Y, Xi Q, Ren C.",Brain Imaging Behav. 2021 Feb;15(1):389-400. doi: 10.1007/s11682-020-00266-x.,Chen J,Brain Imaging Behav,2021,2020/03/04,,,10.1007/s11682-020-00266-x,1,64,55,,,,1,0,motivate methods,,
33724053,Altered Posterior Midline Activity in Patients with Jerky and Tremulous Functional Movement Disorders,"Marapin RS, Gelauff JM, Marsman JBC, de Jong BM, Dreissen YEM, Koelman JHTM, van der Horn HJ, Tijssen MAJ.",Brain Connect. 2021 Sep;11(7):584-593. doi: 10.1089/brain.2020.0779. Epub 2021 May 7.,Marapin RS,Brain Connect,2021,2021/03/16,,,10.1089/brain.2020.0779,1,17,17,,,,0,0,,,
33432537,Functional connectivity patterns of the subgenual anterior cingulate cortex in first-episode refractory major depressive disorder,"Cheng B, Meng Y, Zuo Y, Guo Y, Wang X, Wang S, Zhang R, Deng W, Guo Y, Ning G.",Brain Imaging Behav. 2021 Oct;15(5):2397-2405. doi: 10.1007/s11682-020-00436-x. Epub 2021 Jan 12.,Cheng B,Brain Imaging Behav,2021,2021/01/12,,,10.1007/s11682-020-00436-x,1,33,31,33,,,0,0,,,
34689534,[Resting-state functional magnetic resonance imaging analysis of modified electroconvulsive therapy in the treatment of major depressive disorder],"Hou QQ, Wu Y, Lyu HM, Zhang T, Xie W, Bai TJ, Tian YH.",Zhonghua Yi Xue Za Zhi. 2021 Oct 26;101(39):3221-3226. doi: 10.3780/cma.j.cn112137-20210402-00807.,Hou QQ,Zhonghua Yi Xue Za Zhi,2021,2021/10/25,,,10.3780/cma.j.cn112137-20210402-00807,0,,,,,,,,,Within-patient design,
34075003,Aberrant cerebral intrinsic activity and cerebro-cerebellar functional connectivity in right temporal lobe epilepsy: a resting-state functional MRI study,"Zhou X, Liu J, Zhang Z, Qin L, Pang X, Yu L, Zheng J.",Neuroreport. 2021 Aug 11;32(12):1009-1016. doi: 10.1097/WNR.0000000000001681.,Zhou X,Neuroreport,2021,2021/06/02,,,10.1097/WNR.0000000000001681,1,35,33,,,,0,0,,,
34924929,Disrupted Functional Connectivity Within and Between Resting-State Networks in the Subacute Stage of Post-stroke Aphasia,"Zhang C, Xia Y, Feng T, Yu K, Zhang H, Sami MU, Xiang J, Xu K.",Front Neurosci. 2021 Dec 1;15:746264. doi: 10.3389/fnins.2021.746264. eCollection 2021.,Zhang C,Front Neurosci,2021,2021/12/20,PMC8672309,,10.3389/fnins.2021.746264,1,20,20,,,,0,0,,,
33043540,Decoupling of Gray and White Matter Functional Networks in Medication-Naïve Patients With Major Depressive Disorder,"Zhao Y, Zhang F, Zhang W, Chen L, Chen Z, Lui S, Gong Q.",J Magn Reson Imaging. 2021 Mar;53(3):742-752. doi: 10.1002/jmri.27392. Epub 2020 Oct 12.,Zhao Y,J Magn Reson Imaging,2021,2020/10/12,,,10.1002/jmri.27392,1,68,66,,,,0,0,,,
33961964,Characterization of brain functional connectivity in treatment-resistant depression,"Amiri S, Arbabi M, Kazemi K, Parvaresh-Rizi M, Mirbagheri MM.",Prog Neuropsychopharmacol Biol Psychiatry. 2021 Dec 20;111:110346. doi: 10.1016/j.pnpbp.2021.110346. Epub 2021 May 4.,Amiri S,Prog Neuropsychopharmacol Biol Psychiatry,2021,2021/05/07,,,10.1016/j.pnpbp.2021.110346,1,31,29,,,,1,0,limitations,,
33472674,Altered functional connectivity between hypothalamus and limbic system in fibromyalgia,"Kong J, Huang Y, Liu J, Yu S, Ming C, Chen H, Wilson G, Harvey WF, Li W, Wang C.",Mol Brain. 2021 Jan 20;14(1):17. doi: 10.1186/s13041-020-00705-2.,Kong J,Mol Brain,2021,2021/01/21,PMC7816461,,10.1186/s13041-020-00705-2,1,24,24,,,,0,0,,,
32979169,Aberrant brain functional hubs and causal connectivity in presbycusis,"Xing C, Chen YC, Tong Z, Xu W, Xu JJ, Yin X, Wu Y, Cai Y.",Brain Imaging Behav. 2021 Feb;15(1):453-463. doi: 10.1007/s11682-020-00386-4.,Xing C,Brain Imaging Behav,2021,2020/09/26,,,10.1007/s11682-020-00386-4,1,40,40,,,,0,0,,,
33476477,Alterations in Resting-State Functional Brain Connectivity and Correlations with Vestibular/Ocular-Motor Screening Measures in Postconcussion Vestibular Dysfunction,"Trofimova A, Smith JL, Ahluwalia V, Hurtado J, Gore RK, Allen JW.",J Neuroimaging. 2021 Mar;31(2):277-286. doi: 10.1111/jon.12834. Epub 2021 Jan 21.,Trofimova A,J Neuroimaging,2021,2021/01/21,,,10.1111/jon.12834,1,12,10,,,,0,0,,,
33611101,Regional and global resting-state functional MR connectivity in temporal lobe epilepsy: Results from the Epilepsy Connectome Project,"Struck AF, Boly M, Hwang G, Nair V, Mathis J, Nencka A, Conant LL, DeYoe EA, Raghavan M, Prabhakaran V, Binder JR, Meyerand ME, Hermann BP.",Epilepsy Behav. 2021 Apr;117:107841. doi: 10.1016/j.yebeh.2021.107841. Epub 2021 Feb 18.,Struck AF,Epilepsy Behav,2021,2021/02/21,PMC8035304,NIHMS1672370,10.1016/j.yebeh.2021.107841,1,102,55,,,,0,0,,,
33151465,Gradually evaluating of suicidal risk in depression by semi-supervised cluster analysis on resting-state fMRI,"Dai Z, Shen X, Tian S, Yan R, Wang H, Wang X, Yao Z, Lu Q.",Brain Imaging Behav. 2021 Aug;15(4):2149-2158. doi: 10.1007/s11682-020-00410-7. Epub 2020 Nov 5.,Dai Z,Brain Imaging Behav,2021,2020/11/05,,,10.1007/s11682-020-00410-7,0,,,,,,,,,"Within-patient design, prediction",
34899970,Application of Magnetic Resonance Imaging of Patients with Concussion in Clinical Emergency,"Fang P, Lin D, Xu K, Ying S.",Comput Math Methods Med. 2021 Dec 1;2021:7749540. doi: 10.1155/2021/7749540. eCollection 2021.,Fang P,Comput Math Methods Med,2021,2021/12/13,PMC8654544,,10.1155/2021/7749540,0,,,,,,,,,"Number of patients unclear, poor english",
34703025,Common and differential connectivity profiles of deep brain stimulation and capsulotomy in refractory obsessive-compulsive disorder,"Chen X, Wang Z, Lv Q, Lv Q, van Wingen G, Fridgeirsson EA, Denys D, Voon V, Wang Z.",Mol Psychiatry. 2021 Oct 26. doi: 10.1038/s41380-021-01358-w. Online ahead of print.,Chen X,Mol Psychiatry,2021,2021/10/27,,,10.1038/s41380-021-01358-w,1,104,82,,,,1,0,limitations,,
34478055,Disrupted functional connectivity in white matter resting-state networks in unilateral temporal lobe epilepsy,"Li X, Jiang Y, Li W, Qin Y, Li Z, Chen Y, Tong X, Xiao F, Zuo X, Gong Q, Zhou D, Yao D, An D, Luo C.",Brain Imaging Behav. 2022 Feb;16(1):324-335. doi: 10.1007/s11682-021-00506-8. Epub 2021 Sep 3.,Li X,Brain Imaging Behav,2022,2021/09/03,,,10.1007/s11682-021-00506-8,1,71,79,47,,,0,0,,,
34225957,Resting-state functional connectivity of the human hypothalamus,"Kullmann S, Veit R.",Handb Clin Neurol. 2021;179:113-124. doi: 10.1016/B978-0-12-819975-6.00005-4.,Kullmann S,Handb Clin Neurol,2021,2021/07/06,,,10.1016/B978-0-12-819975-6.00005-4,0,,,,,,,,,Book chapter,
34346531,Early motor network connectivity after stroke: An interplay of general reorganization and state-specific compensation,"Paul T, Hensel L, Rehme AK, Tscherpel C, Eickhoff SB, Fink GR, Grefkes C, Volz LJ.",Hum Brain Mapp. 2021 Nov;42(16):5230-5243. doi: 10.1002/hbm.25612. Epub 2021 Aug 4.,Paul T,Hum Brain Mapp,2021,2021/08/04,PMC8519876,,10.1002/hbm.25612,1,26,,,,,0,0,,within-subject design,
33432545,Effects of unilateral tDCS over left prefrontal cortex on emotion regulation in depression: Evidence from concurrent functional magnetic resonance imaging,"van Dam WO, Chrysikou EG.",Cogn Affect Behav Neurosci. 2021 Feb;21(1):14-34. doi: 10.3758/s13415-020-00830-4. Epub 2021 Jan 12.,van Dam WO,Cogn Affect Behav Neurosci,2021,2021/01/12,PMC8572372,NIHMS1662246,10.3758/s13415-020-00830-4,1,19,18,,,,0,0,,,
34378488,Social dysfunction is transdiagnostically associated with default mode network dysconnectivity in schizophrenia and Alzheimer's disease,"Saris IMJ, Aghajani M, Reus LM, Visser PJ, Pijnenburg Y, van der Wee NJA, Bilderbeck AC, Raslescu A, Malik A, Mennes M, Koops S, Arrango C, Ayuso-Mateos JL, Dawson GR, Marston H, Kas MJ, Penninx BWJH; PRISM consortium.",World J Biol Psychiatry. 2021 Sep 17:1-14. doi: 10.1080/15622975.2021.1966714. Online ahead of print.,Saris IMJ,World J Biol Psychiatry,2021,2021/08/11,,,10.1080/15622975.2021.1966714,1,48,47,55,,,0,0,,,
32086218,Estimating Functional Connectivity by Integration of Inherent Brain Function Activity Pattern Priors,"Zhu Z, Zhen Z, Wu X, Li S.",IEEE/ACM Trans Comput Biol Bioinform. 2021 Nov-Dec;18(6):2420-2430. doi: 10.1109/TCBB.2020.2974952. Epub 2021 Dec 8.,Zhu Z,IEEE/ACM Trans Comput Biol Bioinform,2021,2020/02/23,,,10.1109/TCBB.2020.2974952,0,,,,,,,,,Method paper,
34194487,"Increased Global-Brain Functional Connectivity Is Associated with Dyslipidemia and Cognitive Impairment in First-Episode, Drug-Naive Patients with Bipolar Disorder","Pan P, Qiu Y, Teng Z, Li S, Huang J, Xiang H, Tang H, Chen J, Wu C, Jin K, Wang B, Liu F, Wu H, Guo W.",Neural Plast. 2021 Jun 5;2021:5560453. doi: 10.1155/2021/5560453. eCollection 2021.,Pan P,Neural Plast,2021,2021/07/01,PMC8203345,,10.1155/2021/5560453,1,35,37,,,,0,0,,,
34931392,Different sensorimotor mechanism in fast and slow progression amyotrophic lateral sclerosis,"Li Q, Zhu W, Wen X, Zang Z, Da Y, Lu J.",Hum Brain Mapp. 2022 Apr 1;43(5):1710-1719. doi: 10.1002/hbm.25752. Epub 2021 Dec 20.,Li Q,Hum Brain Mapp,2022,2021/12/21,PMC8886636,,10.1002/hbm.25752,1,38,37,,,,0,0,,,
33412326,Disruption of Rich-Club Connectivity in Cushing Disease,"Xu CX, Jiang H, Zhao ZJ, Sun YH, Chen X, Sun BM, Sun QF, Bian LG.",World Neurosurg. 2021 Apr;148:e275-e281. doi: 10.1016/j.wneu.2020.12.146. Epub 2021 Jan 4.,Xu CX,World Neurosurg,2021,2021/01/07,,,10.1016/j.wneu.2020.12.146,1,38,33,41,,,1,0,limitations,,
34221189,Altered Small-World Functional Network Topology in Patients with Optic Neuritis: A Resting-State fMRI Study,"Song K, Li J, Zhu Y, Ren F, Cao L, Huang ZG.",Dis Markers. 2021 Jun 14;2021:9948751. doi: 10.1155/2021/9948751. eCollection 2021.,Song K,Dis Markers,2021,2021/07/05,PMC8219459,,10.1155/2021/9948751,1,21,21,,,,0,0,,,
34698462,[Functional MRI-based study on neuromechanism of trans-auricular vagus nerve stimulation for treatment-resistant depression],"Chen LM, Li XJ, Xu K, Guo CL, Zhang GL, Han M, Wang Z, Rong PJ, He JK, Sun JF, Xu FQ, Wang HX, Fang JL.",Zhen Ci Yan Jiu. 2021 Oct 25;46(10):869-74. doi: 10.13702/j.1000-0607.20210241.,Chen LM,Zhen Ci Yan Jiu,2021,2021/10/26,,,10.13702/j.1000-0607.20210241,0,,,,,,,,,within-subject,
34588970,Analysis of Brain Functional Connectivity Neural Circuits in Children With Autism Based on Persistent Homology,"Liang D, Xia S, Zhang X, Zhang W.",Front Hum Neurosci. 2021 Sep 13;15:745671. doi: 10.3389/fnhum.2021.745671. eCollection 2021.,Liang D,Front Hum Neurosci,2021,2021/09/30,PMC8473898,,10.3389/fnhum.2021.745671,1,54,52,,,,0,0,,,
33505350,Abnormal Brain Network Topology During Non-rapid Eye Movement Sleep and Its Correlation With Cognitive Behavioral Abnormalities in Narcolepsy Type 1,"Zhu X, Ni K, Tan H, Liu Y, Zeng Y, Yu B, Guo Q, Xiao L.",Front Neurol. 2021 Jan 11;11:617827. doi: 10.3389/fneur.2020.617827. eCollection 2020.,Zhu X,Front Neurol,2021,2021/01/28,PMC7829333,,10.3389/fneur.2020.617827,1,25,25,,,,0,0,,,
34177777,Altered Relationship Between Heart Rate Variability and fMRI-Based Functional Connectivity in People With Epilepsy,"Kassinopoulos M, Harper RM, Guye M, Lemieux L, Diehl B.",Front Neurol. 2021 Jun 10;12:671890. doi: 10.3389/fneur.2021.671890. eCollection 2021.,Kassinopoulos M,Front Neurol,2021,2021/06/28,PMC8223068,,10.3389/fneur.2021.671890,1,28,16,,,,0,0,,,
32169470,Altered fMRI-derived functional connectivity in patients with high-tension glaucoma,"Wang B, Yan T, Zhou J, Xie Y, Qiu J, Wang Y, Lu W.",J Neuroradiol. 2021 Mar;48(2):94-98. doi: 10.1016/j.neurad.2020.03.001. Epub 2020 Mar 10.,Wang B,J Neuroradiol,2021,2020/03/15,,,10.1016/j.neurad.2020.03.001,1,36,20,,,,0,0,,,
34901056,Changes of Brain Functional Connectivity in End-Stage Renal Disease Patients Receiving Peritoneal Dialysis Without Cognitive Decline,"Chang TY, Wu HH, Li YJ, Liu HL, Yeh CH, Jian HS, Huang KL, Lee TH, Tian YC, Wu CW.",Front Med (Lausanne). 2021 Nov 24;8:734410. doi: 10.3389/fmed.2021.734410. eCollection 2021.,Chang TY,Front Med (Lausanne),2021,2021/12/13,PMC8652044,,10.3389/fmed.2021.734410,1,19,24,,,,0,0,,,
33553358,Disrupted balance of long and short-range functional connectivity density in Alzheimer's disease (AD) and mild cognitive impairment (MCI) patients: a resting-state fMRI study,"Mao Y, Liao Z, Liu X, Li T, Hu J, Le D, Pei Y, Sun W, Lin J, Qiu Y, Zhu J, Chen Y, Qi C, Su H, Yu E.",Ann Transl Med. 2021 Jan;9(1):65. doi: 10.21037/atm-20-7019.,Mao Y,Ann Transl Med,2021,2021/02/08,PMC7859805,,10.21037/atm-20-7019,1,111,73,29,,,1,0,limitations,,
34658763,Altered Brain Functional Connectivity at Resting-State in Patients With Non-arteritic Anterior Ischemic Optic Neuropathy,"Zhao P, Lv H, Guo P, Su Y, Liu M, Wang Y, Hua H, Kang S.",Front Neurosci. 2021 Oct 1;15:712256. doi: 10.3389/fnins.2021.712256. eCollection 2021.,Zhao P,Front Neurosci,2021,2021/10/18,PMC8517223,,10.3389/fnins.2021.712256,1,31,31,,,,0,0,,,
34709765,Combined rs-fMRI study on brain functional imaging and mechanism of RAGE-DAMPs of depression: Evidence from MDD patients to chronic stress-induced depression models in cynomolgus monkeys and mice,"Yan W, Xie L, Bi Y, Zeng T, Zhao D, Lai Y, Gao T, Sun X, Shi Y, Dong Z, Wen G, Gao L, Lv Z.",Clin Transl Med. 2021 Oct;11(10):e541. doi: 10.1002/ctm2.541.,Yan W,Clin Transl Med,2021,2021/10/28,PMC8506644,,10.1002/ctm2.541,0,,,,,,,,,animal study,
35221892,Hierarchical Synchronization Estimation of Low- and High-Order Functional Connectivity Based on Sub-Network Division for the Diagnosis of Autism Spectrum Disorder,"Zhao F, Han Z, Cheng D, Mao N, Chen X, Li Y, Fan D, Liu P.",Front Neurosci. 2022 Feb 10;15:810431. doi: 10.3389/fnins.2021.810431. eCollection 2021.,Zhao F,Front Neurosci,2022,2022/02/28,PMC8867086,,10.3389/fnins.2021.810431,0,,,,,,,,,methods paper,
33470766,Intrinsic dialogues between the two hemispheres in middle-aged male alcoholics: a resting-state functional MRI study,"Dai X, Zhang J, Gao L, Yu J, Li Y, Du B, Huang X, Zhang H.",Neuroreport. 2021 Feb 3;32(3):206-213. doi: 10.1097/WNR.0000000000001579.,Dai X,Neuroreport,2021,2021/01/20,,,10.1097/WNR.0000000000001579,1,30,30,,,,0,0,,,
32743721,Disrupted pathways from frontal-parietal cortex to basal ganglia and cerebellum in patients with unmedicated obsessive compulsive disorder as observed by whole-brain resting-state effective connectivity analysis - a small sample pilot study,"Liu W, Hua M, Qin J, Tang Q, Han Y, Tian H, Lian D, Zhang Z, Wang W, Wang C, Chen C, Jiang D, Li G, Lin X, Zhuo C.",Brain Imaging Behav. 2021 Jun;15(3):1344-1354. doi: 10.1007/s11682-020-00333-3.,Liu W,Brain Imaging Behav,2021,2020/08/04,,,10.1007/s11682-020-00333-3,1,50,50,,,,0,0,,,
34477887,Resting state functional connectivity patterns as biomarkers of treatment response to escitalopram in patients with major depressive disorder,"Martens MAG, Filippini N, Harmer CJ, Godlewska BR.",Psychopharmacology (Berl). 2021 Sep 3. doi: 10.1007/s00213-021-05915-7. Online ahead of print.,Martens MAG,Psychopharmacology (Berl),2021,2021/09/03,,,10.1007/s00213-021-05915-7,1,34,31,,,,1,0,limitations,,
33385828,Electrophysiological scarring in remitted depressed patients: Elevated EEG functional connectivity between the posterior cingulate cortex and the subgenual prefrontal cortex as a neural marker for rumination,"Benschop L, Poppa T, Medani T, Shahabi H, Baeken C, Leahy RM, Pizzagalli DA, Vanderhasselt MA.",J Affect Disord. 2021 Feb 15;281:493-501. doi: 10.1016/j.jad.2020.12.081. Epub 2020 Dec 24.,Benschop L,J Affect Disord,2021,2021/01/01,,,10.1016/j.jad.2020.12.081,0,,,,,,,,,EEG paper,
34048872,Connectome-based model predicts episodic memory performance in individuals with subjective cognitive decline and amnestic mild cognitive impairment,"Zhu Y, Zang F, Wang Q, Zhang Q, Tan C, Zhang S, Hu T, Qi L, Xu S, Ren Q, Xie C.",Behav Brain Res. 2021 Aug 6;411:113387. doi: 10.1016/j.bbr.2021.113387. Epub 2021 May 25.,Zhu Y,Behav Brain Res,2021,2021/05/28,,,10.1016/j.bbr.2021.113387,1,33,26,27,,,0,0,,,
33453729,Recurrent and concurrent patterns of regional BOLD dynamics and functional connectivity dynamics in cognitive decline,"Liang L, Yuan Y, Wei Y, Yu B, Mai W, Duan G, Nong X, Li C, Su J, Zhao L, Zhang Z, Deng D.",Alzheimers Res Ther. 2021 Jan 16;13(1):28. doi: 10.1186/s13195-020-00764-6.,Liang L,Alzheimers Res Ther,2021,2021/01/17,PMC7811744,,10.1186/s13195-020-00764-6,1,62,70,75,,,0,0,,,
34539460,A Treatment-Response Comparison Study of Resting-State Functional Magnetic Resonance Imaging Between Standard Treatment of SSRI and Standard Treatment of SSRI Plus Non-dominant Hand-Writing Task in Patients With Major Depressive Disorder,"Boyraz RK, Kirpinar I, Yilmaz O, Özyurt O, Kiliçarslan T, Aralasmak A.",Front Psychiatry. 2021 Sep 3;12:698954. doi: 10.3389/fpsyt.2021.698954. eCollection 2021.,Boyraz RK,Front Psychiatry,2021,2021/09/20,PMC8446543,,10.3389/fpsyt.2021.698954,1,13,13,,,,1,1,motivation,,
33217504,Aberrant voxel-based degree centrality in Parkinson's disease patients with mild cognitive impairment,"Li MG, Bian XB, Zhang J, Wang ZF, Ma L.",Neurosci Lett. 2021 Jan 10;741:135507. doi: 10.1016/j.neulet.2020.135507. Epub 2020 Nov 17.,Li MG,Neurosci Lett,2021,2020/11/20,,,10.1016/j.neulet.2020.135507,1,25,25,25,,,0,0,,,
33011526,Aberrant Functional Connectivity of Basal Forebrain Subregions with Cholinergic System in Short-term and Chronic Insomnia Disorder,"Ma X, Fu S, Yin Y, Wu Y, Wang T, Xu G, Liu M, Xu Y, Tian J, Jiang G.",J Affect Disord. 2021 Jan 1;278:481-487. doi: 10.1016/j.jad.2020.09.103. Epub 2020 Sep 29.,Ma X,J Affect Disord,2021,2020/10/04,,,10.1016/j.jad.2020.09.103,1,34,41,46,,,0,0,,,
34216941,Altered functional connectivity of the dentate nuclei in patients with schizophrenia,"Xie Y, Xi Y, Cui LB, Li C, Xu Y, Zhang Y, Yan Q, Fang P, Yin H.",Schizophr Res. 2021 Jul;233:16-23. doi: 10.1016/j.schres.2021.06.035. Epub 2021 Jun 30.,Xie Y,Schizophr Res,2021,2021/07/03,,,10.1016/j.schres.2021.06.035,1,100,92,,,,0,0,,,
33403560,Chemotherapy-Induced Brain Effects in Small-Cell Lung Cancer Patients: A Multimodal MRI Study,"Mentzelopoulos A, Gkiatis K, Karanasiou I, Karavasilis E, Papathanasiou M, Efstathopoulos E, Kelekis N, Kouloulias V, Matsopoulos GK.",Brain Topogr. 2021 Mar;34(2):167-181. doi: 10.1007/s10548-020-00811-3. Epub 2021 Jan 5.,Mentzelopoulos A,Brain Topogr,2021,2021/01/06,,,10.1007/s10548-020-00811-3,1,20,14,,,,0,0,,,
