random order,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Rater,Include,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Mentions power,Power analysis,Power discussion,REMARKS,67
0,30630835,Resting-State Functional Connectivity of the Middle Frontal Gyrus Can Predict Language Lateralization in Patients with Brain Tumors,"Gohel S, Laino ME, Rajeev-Kumar G, Jenabi M, Peck K, Hatzoglou V, Tabar V, Holodny AI, Vachha B.",AJNR Am J Neuroradiol. 2019 Feb;40(2):319-325. doi: 10.3174/ajnr.A5932. Epub 2019 Jan 10.,Gohel S,AJNR Am J Neuroradiol,2019,2019/01/12,PMC6375738,NIHMS1515826,10.3174/ajnr.A5932,B,0,,,,,,,,,not case/contro;,
21,30619995,Effect of Increasing Age on Brain Dysfunction in Cirrhosis,"Liu R, Ahluwalia V, Kang JD, Ghosh SS, Zhou H, Li Y, Zhao D, Gurley E, Li X, White MB, Fagan A, Lippman HR, Wade JB, Hylemon PB, Bajaj JS.",Hepatol Commun. 2018 Nov 30;3(1):63-73. doi: 10.1002/hep4.1286. eCollection 2019 Jan.,Liu R,Hepatol Commun,2018,2019/01/09,PMC6312655,,10.1002/hep4.1286,S,1,23,23,,,,0,,,,
22,31606759,Increased neural connectivity between the hypothalamus and cortical resting-state functional networks in chronic migraine,"Coppola G, Di Renzo A, Petolicchio B, Tinelli E, Di Lorenzo C, Serrao M, Calistri V, Tardioli S, Cartocci G, Parisi V, Caramia F, Di Piero V, Pierelli F.",J Neurol. 2020 Jan;267(1):185-191. doi: 10.1007/s00415-019-09571-y. Epub 2019 Oct 12.,Coppola G,J Neurol,2020,2019/10/14,,,10.1007/s00415-019-09571-y,S,1,20,20,,,,0,,,seed-based,
23,31780136,"Disrupted intrinsic functional connectivity of the cognitive control network underlies disease severity and executive dysfunction in first-episode, treatment-naive adolescent depression","Pan F, Xu Y, Zhou W, Chen J, Wei N, Lu S, Shang D, Wang J, Huang M.",J Affect Disord. 2020 Mar 1;264:455-463. doi: 10.1016/j.jad.2019.11.076. Epub 2019 Nov 13.,Pan F,J Affect Disord,2020,2019/11/30,,,10.1016/j.jad.2019.11.076,S,1,28,24,,,,1,0,limitation,"""it was difficult in China to recruit adolescent participants, in particular first-episode, treatment-naive adolescents with MDD. This may, to some extent, limit the statistical power to detect subtle functional connectivity alterations in adolescent MDD""",
24,32207725,[Patterns of brain functional connectivity in frontal and temporal lobe epilepsies],"Samotaeva IS, Teplyshova AM, Rider FK, Solomatin YV, Luzin RV, Lebedeva NN, Guekht AB.",Zh Nevrol Psikhiatr Im S S Korsakova. 2019;119(11. Vyp. 2):11-15. doi: 10.17116/jnevro201911911211.,Samotaeva IS,Zh Nevrol Psikhiatr Im S S Korsakova,2019,2020/03/25,,,10.17116/jnevro201911911211,S,0,,,,,,,,,not in english,
25,31143651,Altered functional connectivity density in primary angle-closure glaucoma patients at resting-state,"Chen L, Li S, Cai F, Wu L, Gong H, Pei C, Zhou F, Zeng X.",Quant Imaging Med Surg. 2019 Apr;9(4):603-614. doi: 10.21037/qims.2019.04.13.,Chen L,Quant Imaging Med Surg,2019,2019/05/31,PMC6511722,,10.21037/qims.2019.04.13,S,1,45,46,,,,0,,,fc density,
26,31795046,Decreased functional connectivity of the insula within the salience network as an indicator for prospective insufficient response to antidepressants,"Geugies H, Opmeer EM, Marsman JBC, Figueroa CA, van Tol MJ, Schmaal L, van der Wee NJA, Aleman A, Penninx BWJH, Veltman DJ, Schoevers RA, Ruhé HG.",Neuroimage Clin. 2019;24:102064. doi: 10.1016/j.nicl.2019.102064. Epub 2019 Nov 6.,Geugies H,Neuroimage Clin,2019,2019/12/05,PMC6883326,,10.1016/j.nicl.2019.102064,S,1,17,32,19,,,1,1,motivation,ica and seed-based,
27,31176387,Functional and Optogenetic Approaches to Discovering Stable Subtype-Specific Circuit Mechanisms in Depression,"Grosenick L, Shi TC, Gunning FM, Dubin MJ, Downar J, Liston C.",Biol Psychiatry Cogn Neurosci Neuroimaging. 2019 Jun;4(6):554-566. doi: 10.1016/j.bpsc.2019.04.013. Epub 2019 May 10.,Grosenick L,Biol Psychiatry Cogn Neurosci Neuroimaging,2019,2019/06/10,PMC6788795,NIHMS1529071,10.1016/j.bpsc.2019.04.013,S,0,,,,,,,,,not a case-control study,
28,29767302,Amyloid causes intermittent network disruptions in cognitively intact older subjects,Mueller SG.,Brain Imaging Behav. 2019 Jun;13(3):699-716. doi: 10.1007/s11682-018-9869-1.,Mueller SG,Brain Imaging Behav,2019,2018/05/17,,,10.1007/s11682-018-9869-1,K,0,,,,,,,,,simulation/association,
29,31622840,Dysfunction between dorsal caudate and salience network associated with impaired cognitive flexibility in obsessive-compulsive disorder: A resting-state fMRI study,"Tomiyama H, Nakao T, Murayama K, Nemoto K, Ikari K, Yamada S, Kuwano M, Hasuzawa S, Togao O, Hiwatashi A, Kanba S.",Neuroimage Clin. 2019;24:102004. doi: 10.1016/j.nicl.2019.102004. Epub 2019 Sep 16.,Tomiyama H,Neuroimage Clin,2019,2019/10/18,PMC6812295,,10.1016/j.nicl.2019.102004,S,1,38,41,,,,0,,,,
30,30553696,In vivo metabotropic glutamate receptor 5 availability-associated functional connectivity alterations in drug-naïve young adults with major depression,"Kim JH, Joo YH, Son YD, Kim JH, Kim YK, Kim HK, Lee SY, Ido T.",Eur Neuropsychopharmacol. 2019 Dec;29(2):278-290. doi: 10.1016/j.euroneuro.2018.12.001. Epub 2018 Dec 12.,Kim JH,Eur Neuropsychopharmacol,2019,2018/12/17,,,10.1016/j.euroneuro.2018.12.001,S,1,16,15,,,,0,,,seed-based FC,
31,31795065,"Connectivity strength, time lag structure and the epilepsy network in resting-state fMRI","Bandt SK, Besson P, Ridley B, Pizzo F, Carron R, Regis J, Bartolomei F, Ranjeva JP, Guye M.",Neuroimage Clin. 2019;24:102035. doi: 10.1016/j.nicl.2019.102035. Epub 2019 Oct 23.,Bandt SK,Neuroimage Clin,2019,2019/12/05,PMC6881607,,10.1016/j.nicl.2019.102035,S,1,15,36,,,,0,,,,
32,30528957,Intrinsic connectivity networks in posterior cortical atrophy: A role for the pulvinar?,"Fredericks CA, Brown JA, Deng J, Kramer A, Ossenkoppele R, Rankin K, Kramer JH, Miller BL, Rabinovici GD, Seeley WW.",Neuroimage Clin. 2019;21:101628. doi: 10.1016/j.nicl.2018.101628. Epub 2018 Dec 3.,Fredericks CA,Neuroimage Clin,2019,2018/12/12,PMC6411779,,10.1016/j.nicl.2018.101628,S,1,26,64,,,,1,0,limitation,"""This may have been due in part to clinical and radiographic heterogeneity within the PCA population, or simply due to low power given our relatively small sample size.""",
33,31235661,Left frontal connectivity attenuates the adverse effect of entorhinal tau pathology on memory,"Neitzel J, Franzmeier N, Rubinski A, Ewers M; Alzheimer's Disease Neuroimaging Initiative (ADNI).",Neurology. 2019 Jul 23;93(4):e347-e357. doi: 10.1212/WNL.0000000000007822. Epub 2019 Jun 24.,Neitzel J,Neurology,2019,2019/06/26,PMC6669934,,10.1212/WNL.0000000000007822,S,1,82,43,,,,0,,,,
34,30819549,Functional connectivity between prefrontal cortex and subgenual cingulate predicts antidepressant effects of ketamine,"Gärtner M, Aust S, Bajbouj M, Fan Y, Wingenfeld K, Otte C, Heuser-Collier I, Böker H, Hättenschwiler J, Seifritz E, Grimm S, Scheidegger M.",Eur Neuropsychopharmacol. 2019 Apr;29(4):501-508. doi: 10.1016/j.euroneuro.2019.02.008. Epub 2019 Feb 26.,Gärtner M,Eur Neuropsychopharmacol,2019,2019/03/02,,,10.1016/j.euroneuro.2019.02.008,S,0,,,,,,,,,not a case-control study,
35,30155788,Overall survival time prediction for high-grade glioma patients based on large-scale brain functional networks,"Liu L, Zhang H, Wu J, Yu Z, Chen X, Rekik I, Wang Q, Lu J, Shen D.",Brain Imaging Behav. 2019 Oct;13(5):1333-1351. doi: 10.1007/s11682-018-9949-2.,Liu L,Brain Imaging Behav,2019,2018/08/30,,,10.1007/s11682-018-9949-2,S,0,,,,,,,,,not a case-control study,
36,31693978,Resting-state functional connectivity predicts individual language impairment of patients with left hemispheric gliomas involving language network,"Yuan B, Zhang N, Yan J, Cheng J, Lu J, Wu J.",Neuroimage Clin. 2019;24:102023. doi: 10.1016/j.nicl.2019.102023. Epub 2019 Oct 19.,Yuan B,Neuroimage Clin,2019,2019/11/07,PMC6838935,,10.1016/j.nicl.2019.102023,S,0,77,49,,,,0,,,predictive modeling,
37,30930736,Brain Connectivity and Information-Flow Breakdown Revealed by a Minimum Spanning Tree-Based Analysis of MRI Data in Behavioral Variant Frontotemporal Dementia,"Saba V, Premi E, Cristillo V, Gazzina S, Palluzzi F, Zanetti O, Gasparotti R, Padovani A, Borroni B, Grassi M.",Front Neurosci. 2019 Mar 14;13:211. doi: 10.3389/fnins.2019.00211. eCollection 2019.,Saba V,Front Neurosci,2019,2019/04/02,PMC6427927,,10.3389/fnins.2019.00211,K,1,41,39,,,,0,0,,,
38,30837825,Abnormal Dynamic Functional Connectivity Associated With Subcortical Networks in Parkinson's Disease: A Temporal Variability Perspective,"Zhu H, Huang J, Deng L, He N, Cheng L, Shu P, Yan F, Tong S, Sun J, Ling H.",Front Neurosci. 2019 Feb 19;13:80. doi: 10.3389/fnins.2019.00080. eCollection 2019.,Zhu H,Front Neurosci,2019,2019/03/07,PMC6389716,,10.3389/fnins.2019.00080,S,1,42,42,,,,,,,,
39,30644179,Altered functional connectivity in binge eating disorder and bulimia nervosa: A resting-state fMRI study,"Stopyra MA, Simon JJ, Skunde M, Walther S, Bendszus M, Herzog W, Friederich HC.",Brain Behav. 2019 Feb;9(2):e01207. doi: 10.1002/brb3.1207. Epub 2019 Jan 15.,Stopyra MA,Brain Behav,2019,2019/01/16,PMC6379643,,10.1002/brb3.1207,S,1,27,28,29,30,,0,,,,
40,30538081,Association between seizure freedom and default mode network reorganization in patients with unilateral temporal lobe epilepsy,"Ofer I, LeRose C, Mast H, LeVan P, Metternich B, Egger K, Urbach H, Schulze-Bonhage A, Wagner K.",Epilepsy Behav. 2019 Jan;90:238-246. doi: 10.1016/j.yebeh.2018.10.025. Epub 2018 Dec 8.,Ofer I,Epilepsy Behav,2019,2018/12/13,,,10.1016/j.yebeh.2018.10.025,S,1,27,15,,,,0,,,,
41,30126818,Functional connectivity in distinct cognitive subtypes in psychosis,"Lewandowski KE, McCarthy JM, Öngür D, Norris LA, Liu GZ, Juelich RJ, Baker JT.",Schizophr Res. 2019 Feb;204:120-126. doi: 10.1016/j.schres.2018.08.013. Epub 2018 Aug 17.,Lewandowski KE,Schizophr Res,2019,2018/08/22,PMC6378132,NIHMS1505487,10.1016/j.schres.2018.08.013,S,1,31,50,53,,,1,0,limitation,"""our sample was underpowered to evaluate effects of multiple cognitive groups on connectivity measures""",
42,31690846,Neural and functional correlates of impaired reading ability in schizophrenia,"Dondé C, Martinez A, Sehatpour P, Patel GH, Kraut R, Kantrowitz JT, Javitt DC.",Sci Rep. 2019 Nov 5;9(1):16022. doi: 10.1038/s41598-019-52669-6.,Dondé C,Sci Rep,2019,2019/11/07,PMC6831596,,10.1038/s41598-019-52669-6,S,0,30,28,,,,0,,,predictive modeling,
43,30737626,Multimodal neuroimaging study reveals dissociable processes between structural and functional networks in patients with subacute intracerebral hemorrhage,"Zhang X, Yu X, Bao Q, Yang L, Sun Y, Qi P.",Med Biol Eng Comput. 2019 Jun;57(6):1285-1295. doi: 10.1007/s11517-019-01953-8. Epub 2019 Feb 9.,Zhang X,Med Biol Eng Comput,2019,2019/02/10,,,10.1007/s11517-019-01953-8,S,1,26,20,,,,1,0,motivation,"""we opted for a larger number of patients rather than reduced power by including patients with homogeneous lesion localization only""",
44,30298443,Modulatory Effects of Levodopa on Cerebellar Connectivity in Parkinson's Disease,"Mueller K, Jech R, Ballarini T, Holiga Š, Růžička F, Piecha FA, Möller HE, Vymazal J, Růžička E, Schroeter ML.",Cerebellum. 2019 Apr;18(2):212-224. doi: 10.1007/s12311-018-0981-y.,Mueller K,Cerebellum,2019,2018/10/10,PMC6443641,,10.1007/s12311-018-0981-y,S,0,,,,,,,,,not a case-control study,
45,30787862,Modular Functional-Metabolic Coupling Alterations of Frontoparietal Network in Schizophrenia Patients,"Xiang Q, Xu J, Wang Y, Chen T, Wang J, Zhuo K, Guo X, Zeljic K, Li W, Sun Y, Wang Z, Li Y, Liu D.",Front Neurosci. 2019 Feb 6;13:40. doi: 10.3389/fnins.2019.00040. eCollection 2019.,Xiang Q,Front Neurosci,2019,2019/02/22,PMC6372554,,10.3389/fnins.2019.00040,S,1,20,26,,,,0,,,comparison of inter/intra module fc,
46,31001097,Aberrant Brain Function in Active-Stage Ulcerative Colitis Patients: A Resting-State Functional MRI Study,"Fan W, Zhang S, Hu J, Liu B, Wen L, Gong M, Wang G, Yang L, Chen Y, Chen H, Guo H, Zhang D.",Front Hum Neurosci. 2019 Apr 3;13:107. doi: 10.3389/fnhum.2019.00107. eCollection 2019.,Fan W,Front Hum Neurosci,2019,2019/04/20,PMC6457314,,10.3389/fnhum.2019.00107,B,1,42,41,,,,0,,,seed-based + alff,
47,30260540,Alterations in intrinsic fronto-thalamo-parietal connectivity are associated with cognitive control deficits in psychotic disorders,"Lencer R, Yao L, Reilly JL, Keedy SK, McDowell JE, Keshavan MS, Pearlson GD, Tamminga CA, Gershon ES, Clementz BA, Lui S, Sweeney JA.",Hum Brain Mapp. 2019 Jan;40(1):163-174. doi: 10.1002/hbm.24362. Epub 2018 Sep 10.,Lencer R,Hum Brain Mapp,2019,2018/09/28,PMC6289604,NIHMS992427,10.1002/hbm.24362,B,1,50,88,,,,0,,,seed-based + alff,
48,30612699,Common Dysfunction of Large-Scale Neurocognitive Networks Across Psychiatric Disorders,"Sha Z, Wager TD, Mechelli A, He Y.",Biol Psychiatry. 2019 Mar 1;85(5):379-388. doi: 10.1016/j.biopsych.2018.11.011. Epub 2018 Nov 23.,Sha Z,Biol Psychiatry,2019,2019/01/08,,,10.1016/j.biopsych.2018.11.011,B,0,8298,8165,,,,0,,,meta-analysis,
49,31621599,Apomorphine-induced reorganization of striato-frontal connectivity in patients with tremor-dominant Parkinson's disease,"Nigro S, Bordier C, Cerasa A, Nisticò R, Olivadese G, Vescio B, Bianco MG, Fiorillo A, Barbagallo G, Crasà M, Quattrone A, Morelli M, Arabia G, Augimeri A, Nicolini C, Bifone A, Quattrone A.",Parkinsonism Relat Disord. 2019 Oct;67:14-20. doi: 10.1016/j.parkreldis.2019.09.006. Epub 2019 Sep 8.,Nigro S,Parkinsonism Relat Disord,2019,2019/10/18,,,10.1016/j.parkreldis.2019.09.006,B,0,,,,,,,,,not cass control,
50,31279591,Transdiagnostic modulation of brain networks by electroconvulsive therapy in schizophrenia and major depression,"Sambataro F, Thomann PA, Nolte HM, Hasenkamp JH, Hirjak D, Kubera KM, Hofer S, Seidl U, Depping MS, Stieltjes B, Maier-Hein K, Wolf RC.",Eur Neuropsychopharmacol. 2019 Aug;29(8):925-935. doi: 10.1016/j.euroneuro.2019.06.002. Epub 2019 Jul 3.,Sambataro F,Eur Neuropsychopharmacol,2019,2019/07/08,,,10.1016/j.euroneuro.2019.06.002,B,0,,,,,,,,,not cass control,
51,31736850,A Distance-Based Neurorehabilitation Evaluation Method Using Linear SVM and Resting-State fMRI,"Ge Y, Pan Y, Wu Q, Dou W.",Front Neurol. 2019 Nov 1;10:1105. doi: 10.3389/fneur.2019.01105. eCollection 2019.,Ge Y,Front Neurol,2019,2019/11/19,PMC6838867,,10.3389/fneur.2019.01105,B,0,,,,,,,,,prediction,
52,30502227,Spatial characteristics of spontaneous and stimulus-induced individual functional connectivity networks in severe disorders of consciousness,"Sitaram R, Yu T, Halsband U, Vogel D, Müller F, Lang S, Birbaumer N, Kotchoubey B.",Brain Cogn. 2019 Apr;131:10-21. doi: 10.1016/j.bandc.2018.11.007. Epub 2018 Nov 27.,Sitaram R,Brain Cogn,2019,2018/12/04,,,10.1016/j.bandc.2018.11.007,B,1,13,8,11,,,0,,,seed-based,
53,30856495,Topologically state-independent and dependent functional connectivity patterns in current and remitted depression,"Dong D, Li C, Ming Q, Zhong X, Zhang X, Sun X, Jiang Y, Gao Y, Wang X, Yao S.",J Affect Disord. 2019 May 1;250:178-185. doi: 10.1016/j.jad.2019.03.030. Epub 2019 Mar 5.,Dong D,J Affect Disord,2019,2019/03/12,,,10.1016/j.jad.2019.03.030,B,1,59,48,60,,,0,,,graph metrics,
